
HORA INICIO DE MEDICION  Mon Jan  9 09:42:35 2023

HORA FIN DE MEDICION Mon Jan  9 09:45:05 2023
 

Parametros del experimento: 
Usuarios: 100; Tpo. Reflex (seg); 2.000000; IP servidor: 192.168.203.238; Transitorio (seg): 20; Medicion (seg): 150 
Nº usu.; Nº pet.; Tpo Reflex (mseg); Tpo. Ini. (mseg); Tpo. Fin (mseg)
0;0;7356.328125;21531.705078;21544.750000
0;1;19.812765;28902.669922;28912.355469
0;2;124.983620;28933.953125;28950.916016
0;3;147.657242;29090.248047;29109.857422
0;4;341.546234;29262.109375;29275.041016
0;5;519.766296;29621.515625;29632.570313
0;6;1303.730103;30156.025391;30177.537109
0;7;1273.273193;31487.892578;31505.000000
0;8;863.872559;32785.691406;32793.250000
0;9;1009.298950;33665.656250;33673.621094
0;10;5893.033203;34686.253906;34703.113281
0;11;1396.145630;40606.234375;40624.640625
0;12;4527.766602;42028.335938;42035.714844
0;13;8747.458984;46563.195313;46583.335938
0;14;110.288788;55331.742188;55359.441406
0;15;3986.753418;55472.347656;55488.589844
0;16;3400.999512;59481.667969;59489.250000
0;17;151.143127;62891.640625;62905.398438
0;18;2119.703613;63063.527344;63085.121094
0;19;666.205078;65215.355469;65240.851563
0;20;1554.228149;65918.570313;65928.710938
0;21;88.925690;67498.367188;67512.882813
0;22;148.380325;67607.773438;67625.343750
0;23;3167.180176;67779.625000;67793.382813
0;24;1166.244141;70960.734375;70990.531250
0;25;3590.183105;72169.820313;72186.648438
0;26;3288.559082;75788.085938;75802.921875
0;27;1362.570190;79091.570313;79113.515625
0;28;6175.929688;80489.382813;80506.914063
0;29;1333.112061;86690.226563;86703.945313
0;30;480.576935;88037.265625;88055.359375
0;31;933.316589;88537.328125;88554.421875
0;32;1160.020630;89490.546875;89498.031250
0;33;1030.337280;90667.320313;90689.710938
0;34;266.932007;91729.953125;91775.992188
0;35;777.668518;92042.421875;92058.015625
0;36;1625.036987;92841.546875;92852.414063
0;37;259.134949;94483.273438;94506.625000
0;38;4396.525391;94779.984375;94791.156250
0;39;4575.904297;99191.546875;99212.679688
0;40;798.851013;103800.164063;103818.218750
0;41;7273.524902;104628.367188;104653.273438
0;42;3079.893311;111926.750000;111943.703125
0;43;5960.395508;115036.171875;115053.031250
0;44;2138.107422;121017.539063;121034.687500
0;45;1194.880615;123183.625000;123240.875000
0;46;693.817810;124439.554688;124447.359375
0;47;2325.264160;125142.734375;125157.937500
0;48;1214.276611;127487.375000;127503.757813
0;49;1995.079224;128723.234375;128740.757813
0;50;379.776428;130739.070313;130758.546875
0;51;749.414612;131145.343750;131162.281250
0;52;382.804443;131920.812500;131932.093750
0;53;1485.199707;132327.046875;132338.359375
0;54;3686.532959;133831.906250;133852.781250
0;55;2938.399658;137546.812500;137554.390625
0;56;4488.230469;140498.437500;140507.187500
0;57;2054.203613;145004.062500;145013.328125
0;58;13367.209961;147068.515625;147082.546875
0;59;2708.145508;160455.109375;160474.781250
0;60;2582.395508;163190.218750;163236.171875
0;61;2276.093262;165827.281250;165836.156250
0;62;7723.871582;168119.890625;168128.593750
1;0;370.058228;21438.142578;21455.068359
1;1;1911.926392;21828.783203;21848.341797
1;2;3649.477051;23771.683594;23802.763672
1;3;1272.811890;27462.009766;27470.851563
1;4;440.010132;28746.425781;28766.048828
1;5;134.622772;29215.164063;29237.906250
1;6;144.768021;29387.126953;29398.125000
1;7;1313.123047;29543.486328;29560.660156
1;8;2574.198486;30876.316406;30887.904297
1;9;3235.854980;33462.582031;33483.082031
1;10;5688.830566;36722.207031;36743.550781
1;11;1520.003296;42438.902344;42446.238281
1;12;3591.653320;43974.835938;43982.039063
1;13;4444.385742;47579.183594;47608.691406
1;14;3069.953613;52060.820313;52071.414063
