
HORA INICIO DE MEDICION  Mon Jan  9 10:29:03 2023

HORA FIN DE MEDICION Mon Jan  9 10:32:03 2023
 

Parametros del experimento: 
Usuarios: 50; Tpo. Reflex (seg); 1.900000; IP servidor: 192.168.203.238; Transitorio (seg): 20; Medicion (seg): 180 
Nº usu.; Nº pet.; Tpo Reflex (mseg); Tpo. Ini. (mseg); Tpo. Fin (mseg)
0;0;7356.328125;21515.662109;21529.648438
0;1;19.812765;28896.947266;28905.888672
0;2;124.983620;28928.021484;28940.396484
0;3;147.657242;29068.845703;29088.500000
0;4;341.546234;29240.679688;29258.085938
0;5;519.766296;29600.158203;29613.572266
0;6;1303.730103;30147.205078;30159.929688
0;7;1273.273193;31476.306641;31506.609375
0;8;863.872559;32789.003906;32811.851563
0;9;1009.298950;33679.945313;33695.265625
0;10;5893.033203;34711.277344;34726.917969
0;11;1396.145630;40626.132813;40646.332031
0;12;4527.766602;42048.417969;42066.339844
0;13;8747.458984;46601.019531;46616.613281
0;14;110.288788;55375.246094;55395.871094
0;15;3986.753418;55515.843750;55533.921875
0;16;3400.999512;59532.226563;59551.128906
0;17;151.143127;62954.503906;62962.500000
0;18;2119.703613;63126.351563;63134.214844
0;19;666.205078;65267.246094;65284.890625
0;20;1554.228149;65954.804688;65970.789063
0;21;88.925690;67533.101563;67554.320313
0;22;148.380325;67658.117188;67669.265625
0;23;3167.180176;67830.015625;67841.742188
0;24;1166.244141;71017.859375;71041.140625
0;25;3590.183105;72221.093750;72229.484375
0;26;3288.559082;75834.640625;75880.429688
0;27;1362.570190;79169.812500;79184.984375
0;28;6175.929688;80549.390625;80568.632813
0;29;1333.112061;86754.359375;86762.703125
0;30;480.576935;88098.250000;88110.070313
0;31;933.316589;88598.328125;88621.953125
0;32;1160.020630;89567.171875;89581.953125
0;33;1030.337280;90754.796875;90776.046875
0;34;266.932007;91817.445313;91825.390625
0;35;777.668518;92098.625000;92107.500000
0;36;1625.036987;92895.617188;92913.335938
0;37;259.134949;94545.140625;94563.429688
0;38;4396.525391;94826.468750;94848.085938
0;39;4575.904297;99255.851563;99263.632813
0;40;798.851013;103850.539063;103864.421875
0;41;7273.524902;104663.085938;104681.718750
0;42;3079.893311;111968.531250;111980.953125
0;43;5960.395508;115065.015625;115082.515625
0;44;2138.107422;121052.000000;121059.914063
0;45;1194.880615;123208.398438;123218.031250
0;46;693.817810;124412.734375;124429.867188
0;47;2325.264160;125136.304688;125154.757813
0;48;1214.276611;127485.367188;127520.335938
0;49;1995.079224;128735.687500;128759.000000
0;50;379.776428;130755.218750;130764.140625
0;51;749.414612;131147.906250;131162.125000
0;52;382.804443;131923.843750;131934.671875
0;53;1485.199707;132330.125000;132344.890625
0;54;3686.532959;133843.531250;133851.437500
0;55;2938.399658;137547.109375;137568.531250
0;56;4488.230469;140517.015625;140531.265625
0;57;2054.203613;145022.484375;145038.125000
0;58;13367.209961;147097.968750;147119.156250
0;59;2708.145508;160499.500000;160522.921875
0;60;2582.395508;163234.453125;163250.671875
0;61;2276.093262;165845.671875;165864.812500
0;62;7723.871582;168142.890625;168156.375000
0;63;1253.071045;175892.421875;175909.953125
0;64;2622.533691;177173.765625;177184.578125
0;65;1950.884033;179815.515625;179833.640625
0;66;3201.374023;181785.468750;181805.093750
0;67;1273.734863;185007.375000;185019.406250
0;68;183.996613;186304.421875;186312.093750
0;69;298.285889;186507.500000;186529.203125
0;70;897.241333;186835.734375;186856.359375
0;71;3567.893555;187757.656250;187776.171875
0;72;2475.628906;191355.328125;191369.500000
0;73;1758.410156;193859.390625;193880.140625
0;74;3233.394043;195640.734375;195660.390625
0;75;50.687286;198906.843750;198923.765625
0;76;89.436234;198984.937500;199000.359375
0;77;1353.663086;199094.390625;199105.609375
1;0;370.058228;21468.816406;21482.072266
1;1;1911.926392;21859.628906;21877.751953
1;2;3649.477051;23802.341797;23819.197266
1;3;1272.811890;27469.462891;27480.492188
1;4;440.010132;28756.310547;28770.699219
1;5;134.622772;29224.921875;29236.623047
1;6;144.768021;29381.394531;29392.480469
1;7;1313.123047;29537.683594;29552.066406
1;8;2574.198486;30866.074219;30888.287109
1;9;3235.854980;33476.609375;33496.050781
1;10;5688.830566;36731.273438;36751.070313
1;11;1520.003296;42454.656250;42471.726563
1;12;3591.653320;44002.691406;44013.335938
1;13;4444.385742;47608.703125;47626.800781
1;14;3069.953613;52077.929688;52088.574219
1;15;1586.753662;55171.925781;55180.671875
1;16;1446.960449;56781.566406;56793.375000
1;17;1809.943359;58250.824219;58277.515625
1;18;2097.979492;60094.750000;60116.625000
1;19;929.621277;62220.023438;62238.097656
1;20;2658.414307;63173.195313;63195.488281
1;21;6.419220;65861.070313;65872.609375
1;22;3033.183350;65892.281250;65905.617188
1;23;536.537292;68939.328125;68962.031250
1;24;1094.180908;69502.062500;69521.757813
1;25;7818.986328;70627.148438;70652.351563
1;26;324.316345;78482.210938;78498.859375
1;27;33.669121;78825.984375;78833.554688
1;28;100.380829;78872.867188;78886.890625
1;29;617.825500;78997.890625;79016.210938
1;30;1529.160278;79638.578125;79659.562500
1;31;4444.948730;81190.031250;81197.945313
1;32;142.931442;85644.851563;85658.273438
1;33;153.448517;85801.140625;85823.484375
1;34;204.985016;85988.601563;86005.789063
1;35;1252.500000;86223.054688;86241.867188
1;36;4340.672363;87504.468750;87518.000000
1;37;61.610138;91864.281250;91871.617188
1;38;5705.689941;91942.476563;91952.820313
1;39;7947.860352;97662.093750;97676.375000
1;40;1869.822998;105631.976563;105649.421875
1;41;3214.729736;107524.093750;107538.515625
1;42;1896.742432;110765.265625;110780.046875
1;43;2397.211670;112687.343750;112694.734375
1;44;670.553284;115096.265625;115106.945313
1;45;545.657349;115783.828125;115791.078125
1;46;5.806881;116346.398438;116363.156250
1;47;70.442093;116377.671875;116398.000000
1;48;3964.919678;116471.429688;116488.695313
1;49;1109.960205;120456.218750;120467.273438
1;50;2101.991211;121583.257813;121590.343750
1;51;1665.470337;123692.859375;123700.164063
1;52;1609.963135;125376.843750;125409.437500
1;53;1035.042725;127025.625000;127053.476563
1;54;4185.859863;128094.921875;128115.375000
1;55;1282.060425;132314.468750;132323.437500
1;56;3974.247803;133609.062500;133620.328125
1;57;8580.308594;137609.546875;137625.171875
1;58;2751.157715;146212.687500;146225.750000
1;59;1579.076660;148977.781250;148992.703125
1;60;7791.775391;150572.156250;150593.015625
1;61;1253.071045;158395.609375;158405.906250
1;62;768.415222;159671.265625;159685.890625
1;63;736.317871;160468.203125;160482.921875
1;64;2728.103027;161233.921875;161249.953125
1;65;1695.307861;163984.468750;163995.843750
1;66;307.091187;165705.125000;165715.921875
1;67;983.682678;166033.250000;166044.796875
1;68;5245.483398;167033.375000;167050.218750
1;69;1468.721924;172297.421875;172306.812500
1;70;1343.241577;173782.640625;173790.140625
1;71;2501.897461;175142.328125;175150.421875
1;72;50.311710;177658.218750;177669.109375
1;73;1378.922485;177720.671875;177739.468750
1;74;638.128601;179127.921875;179144.406250
1;75;1933.957397;179784.218750;179805.515625
1;76;701.517517;181754.218750;181772.656250
1;77;1114.217651;182488.734375;182496.218750
1;78;286.276764;183614.625000;183631.156250
1;79;1302.793213;183929.125000;183946.640625
1;80;597.315002;185257.406250;185274.343750
1;81;863.966614;185882.484375;185893.406250
1;82;2083.569092;186757.562500;186774.109375
1;83;5391.954102;188867.156250;188883.312500
1;84;899.536804;194281.281250;194304.640625
1;85;681.336365;195218.875000;195229.703125
1;86;311.223114;195922.078125;195929.593750
1;87;795.395752;196250.250000;196263.890625
1;88;125.828415;197062.828125;197076.390625
1;89;4619.688477;197203.484375;197217.156250
2;0;5264.064453;20893.619141;20918.261719
2;1;6819.373535;26183.093750;26205.248047
2;2;972.633728;33039.164063;33108.082031
2;3;144.308746;34086.160156;34104.324219
2;4;141.882828;34258.066406;34269.214844
2;5;3277.529541;34414.332031;34429.738281
2;6;494.206055;37715.714844;37730.328125
2;7;265.746582;38231.390625;38243.527344
2;8;1064.445190;38512.679688;38534.191406
2;9;2502.964111;39606.527344;39624.718750
2;10;634.101685;42142.175781;42162.230469
2;11;3612.723877;42798.460938;42815.976563
2;12;137.824432;46429.125000;46447.328125
2;13;444.502563;46585.371094;46611.191406
2;14;86.884804;47069.785156;47078.363281
2;15;295.170685;47179.167969;47190.859375
2;16;1144.059326;47499.359375;47517.750000
2;17;5210.482422;48671.367188;48686.777344
2;18;1014.360535;53906.328125;53924.234375
2;19;870.558472;54953.296875;54975.949219
2;20;650.680420;55859.667969;55880.015625
2;21;5328.739258;56531.566406;56552.070313
2;22;3211.686279;61891.785156;61903.355469
2;23;4385.010742;65126.523438;65141.367188
