
HORA INICIO DE MEDICION:  Fri Sep 30 11:20:27 2022

HORA FIN DE MEDICION: Fri Sep 30 11:25:27 2022
 

Parametros del experimento: 
Nº Usuarios: 90; Tpo. Reflex (seg): 1.250000; IP servidor: 192.168.203.244; Transitorio (seg): 0; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;5,351606;13,199063;118,159912
0;1;0,140689;5557,506836;5963,810547
0;2;0,152830;6131,596191;6285,644043
0;3;1,358400;6532,152832;7418,742676
0;4;1,749110;8842,035156;9050,838867
0;5;0,683072;10853,033203;11301,255859
0;6;1,430920;12004,551758;12863,720703
0;7;0,557971;14318,485352;14722,954102
0;8;1,450244;15301,109375;15653,948242
0;9;2,806224;17110,917969;17562,945313
0;10;0,627341;20369,759766;20934,498047
0;11;4,457879;21566,910156;21799,275391
0;12;0,219045;26265,044922;26392,425781
0;13;2,478352;26630,609375;27162,189453
0;14;0,562450;29674,691406;30399,548828
0;15;0,475340;30999,041016;31942,130859
0;16;1,936912;32430,064453;32995,980469
0;17;1,930819;34942,535156;35382,378906
0;18;2,096916;37379,097656;37702,218750
0;19;0,590828;39832,386719;40326,265625
0;20;0,154685;40967,656250;41690,187500
0;21;0,033912;41887,878906;42205,921875
0;22;0,196790;42270,644531;42546,039063
0;23;0,028670;42778,050781;43057,757813
0;24;2,286851;43102,468750;43453,660156
0;25;0,129934;45760,519531;46221,136719
0;26;0,950165;46392,585938;46662,781250
0;27;0,099164;47633,031250;47739,792969
0;28;4,522990;47847,023438;48246,105469
0;29;0,009881;52771,753906;53236,839844
0;30;0,436013;53287,828125;53435,855469
0;31;0,079496;53885,527344;54453,734375
0;32;4,979648;54569,312500;54942,144531
0;33;1,744943;59935,167969;60389,601563
0;34;1,820849;62219,328125;62573,644531
0;35;0,829412;64443,207031;64658,792969
0;36;0,467275;65490,070313;65924,546875
0;37;1,115193;66408,250000;66882,078125
0;38;2,577782;67998,007813;68535,093750
0;39;5,446153;71202,742188;71517,796875
0;40;0,469217;76965,625000;77560,898438
0;41;0,223143;78080,226563;78354,195313
