
HORA INICIO DE MEDICION:  Fri Oct  7 11:08:00 2022

HORA FIN DE MEDICION: Fri Oct  7 11:13:00 2022
 

Parametros del experimento: 
Nº Usuarios: 150; Tpo. Reflex (seg): 2.000000; IP servidor: 192.168.203.244; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;0.158662;61189.195313;61239.511719
0;1;7.236784;61408.492188;61490.359375
0;2;0.015810;68729.875000;68764.164063
0;3;0.697621;68792.195313;68892.703125
0;4;0.127194;69592.921875;69640.453125
0;5;7.967436;69780.460938;69830.203125
0;6;2.791909;77808.578125;77861.125000
0;7;2.913358;80660.945313;80729.468750
0;8;1.327059;83648.593750;83921.273438
0;9;0.747640;85248.445313;85325.968750
0;10;1.784309;86077.265625;86128.609375
0;11;4.124451;87915.039063;88123.132813
0;12;8.713845;92248.109375;92317.070313
0;13;0.750747;101040.609375;101238.234375
0;14;0.357028;101994.546875;102151.132813
0;15;0.266235;102513.156250;102544.304688
0;16;0.479879;102811.625000;102933.546875
0;17;0.153712;103423.539063;103513.414063
0;18;0.638213;103673.625000;103911.671875
0;19;2.716200;104557.343750;104651.632813
0;20;2.045189;107375.921875;107452.242188
0;21;0.007399;109512.914063;109648.265625
0;22;0.773710;109670.164063;109741.539063
0;23;5.145463;110519.585938;110643.968750
0;24;1.961923;115801.781250;116034.640625
0;25;7.301530;118010.093750;118052.015625
0;26;0.253307;125367.835938;125444.625000
0;27;6.190710;125711.695313;125773.281250
0;28;1.817653;131965.656250;132018.718750
0;29;3.630266;133845.828125;133954.515625
0;30;0.625405;137592.906250;137686.343750
0;31;0.124269;138319.468750;138443.640625
0;32;0.722255;138569.515625;138642.031250
0;33;1.803466;139366.531250;139450.984375
0;34;1.560212;141258.500000;141318.609375
0;35;0.209182;142891.656250;142950.343750
0;36;0.302045;143172.859375;143365.062500
0;37;2.000382;143672.921875;143714.843750
0;38;1.568084;145730.109375;145766.796875
