
HORA INICIO DE MEDICION:  Fri Oct 14 10:19:11 2022

HORA FIN DE MEDICION: Fri Oct 14 10:24:11 2022
 

Parametros del experimento: 
Nº Usuarios: 150; Tpo. Reflex (seg): 2.000000; IP servidor: 192.168.203.244; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;1.003746;60231.273438;63907.628906
0;1;7.132606;64974.492188;68492.648438
0;2;0.350472;75679.367188;75833.367188
0;3;3.965363;76278.562500;77661.390625
0;4;0.899920;81686.539063;85690.851563
0;5;0.760543;86677.851563;88709.554688
0;6;3.099060;89516.156250;91279.796875
0;7;3.089311;94458.234375;97401.437500
0;8;3.355066;100575.789063;104127.468750
0;9;0.945325;107575.867188;111512.804688
0;10;0.247496;112503.523438;114493.953125
0;11;0.054259;114753.195313;116784.500000
0;12;0.314863;116888.187500;117574.328125
0;13;0.045873;117957.289063;118417.523438
0;14;3.658962;118565.757813;128309.960938
0;15;0.207895;132005.000000;136755.453125
0;16;1.520264;137027.687500;139874.125000
0;17;0.158662;141482.812500;144686.156250
0;18;7.236784;144891.593750;146757.500000
0;19;0.015810;154043.906250;158576.312500
0;20;0.697621;158672.656250;162724.218750
0;21;0.127194;163447.609375;164699.625000
0;22;7.967436;164870.703125;165008.390625
0;23;2.791909;173066.250000;174196.968750
0;24;2.913358;176999.531250;179777.875000
0;25;1.327059;182698.328125;183957.531250
0;26;0.747640;185339.156250;187111.437500
0;27;1.784309;187885.593750;188035.406250
0;28;4.124451;189871.000000;190874.406250
0;29;8.713845;195011.640625;195394.468750
0;30;0.750747;204158.328125;209849.640625
0;31;0.357028;210638.359375;213646.875000
0;32;0.266235;214020.906250;219024.171875
0;33;0.479879;219382.265625;219826.859375
0;34;0.153712;220358.078125;224171.078125
0;35;0.638213;224358.578125;224752.484375
0;36;2.716200;225454.140625;225605.343750
0;37;2.045189;228358.968750;228796.515625
0;38;0.007399;230923.453125;234005.953125
0;39;0.773710;234047.031250;234241.109375
0;40;5.145463;235036.500000;236965.515625
0;41;1.961923;242222.031250;244889.906250
0;42;7.301530;246878.078125;250514.937500
0;43;0.253307;257875.718750;262726.281250
0;44;6.190710;263030.781250;267425.531250
0;45;1.817653;273689.562500;279032.750000
0;46;3.630266;280864.406250;284095.906250
0;47;0.625405;287785.812500;292145.156250
0;48;0.124269;292786.406250;296887.718750
0;49;0.722255;297089.937500;303328.625000
0;50;1.803466;304103.718750;309295.187500
0;51;1.560212;311154.437500;311355.687500
0;52;0.209182;312961.687500;316241.812500
0;53;0.302045;316519.281250;319774.875000
0;54;2.000382;320134.312500;320182.000000
0;55;1.568084;322219.593750;322273.468750
0;56;1.214165;323857.750000;325960.281250
0;57;3.971578;327211.906250;327323.218750
0;58;1.293682;331361.906250;334495.218750
0;59;3.582848;335884.531250;339252.937500
0;60;1.581902;342881.656250;342977.625000
0;61;1.095447;344559.500000;348124.343750
0;62;0.320157;349233.281250;351129.562500
0;63;0.505491;351450.093750;353747.218750
0;64;3.300922;354262.906250;355814.125000
1;0;0.823482;61556.003906;64325.777344
1;1;7.468089;65155.933594;67327.031250
1;2;2.221790;74825.867188;75074.015625
1;3;2.378479;77296.085938;78303.781250
1;4;7.390434;80732.992188;83661.250000
1;5;1.526278;91073.429688;95155.992188
1;6;3.093892;96712.757813;104861.328125
1;7;0.938482;107968.695313;111749.335938
1;8;2.184690;112709.281250;113455.226563
1;9;3.856668;115644.554688;117220.320313
1;10;6.088191;121084.765625;128807.570313
1;11;1.889665;134930.343750;138630.921875
1;12;1.059670;140542.234375;142643.281250
1;13;0.659658;143721.437500;144178.031250
1;14;1.652320;144890.734375;146758.406250
1;15;1.189674;148444.125000;148907.406250
1;16;4.553177;150126.531250;150507.421875
1;17;3.622782;155080.140625;160439.140625
1;18;3.620916;164076.125000;168574.078125
1;19;3.871416;172208.109375;173969.125000
1;20;3.520140;177853.515625;181086.593750
1;21;0.127129;184638.328125;185947.593750
1;22;2.323508;186090.781250;187212.984375
1;23;12.673469;189578.437500;195901.828125
1;24;1.396882;208576.890625;212124.125000
1;25;0.382583;213548.312500;216201.312500
1;26;1.881986;216613.437500;219079.828125
1;27;1.157950;220989.343750;225452.296875
1;28;1.733859;226636.734375;229255.468750
1;29;2.109162;231075.328125;233648.234375
1;30;0.754037;235798.828125;238714.031250
1;31;0.266095;239477.031250;241947.921875
1;32;1.399092;242221.453125;246532.687500
1;33;3.499667;247939.031250;251784.078125
1;34;0.751991;255295.984375;255439.843750
1;35;1.329787;256240.828125;262237.468750
1;36;1.641057;263594.062500;263724.718750
1;37;1.767104;265391.250000;271589.718750
1;38;0.426820;273383.656250;279032.500000
1;39;1.446331;279479.093750;282570.593750
1;40;0.074239;284038.625000;288385.437500
1;41;3.054433;288483.156250;293123.593750
1;42;2.940257;296197.687500;300616.562500
1;43;0.318296;303610.406250;303735.406250
1;44;1.180071;304056.875000;308584.625000
1;45;1.102108;309773.718750;313427.968750
1;46;4.258430;314561.781250;318390.875000
1;47;3.202282;322654.093750;324090.062500
1;48;0.679449;327322.843750;329385.500000
1;49;0.614669;330106.343750;330192.031250
1;50;8.607215;330852.125000;334949.375000
1;51;1.021875;343575.062500;343708.531250
1;52;0.773441;344737.031250;348243.531250
1;53;4.199766;349130.843750;350790.875000
1;54;0.834291;355018.656250;356409.593750
1;55;3.005014;357264.500000;359115.937500
2;0;1.036785;69199.914063;73840.234375
2;1;3.350498;74925.343750;75127.062500
2;2;1.782522;78557.015625;79461.046875
2;3;0.050938;81286.773438;84611.562500
2;4;1.849868;84718.093750;87155.304688
2;5;0.357393;89053.382813;89940.976563
2;6;0.587302;90398.382813;92789.843750
2;7;0.440010;93483.992188;96141.796875
2;8;2.003040;96614.828125;99339.242188
2;9;0.720154;101436.078125;104024.500000
2;10;1.658045;104755.726563;106033.039063
2;11;4.274403;107757.890625;111622.390625
2;12;0.965796;115941.273438;117145.882813
2;13;2.573756;118161.257813;123143.234375
2;14;0.059911;125763.484375;136174.296875
2;15;0.098969;136327.781250;138032.953125
2;16;5.142266;138224.921875;140899.437500
2;17;3.091600;146075.812500;147339.578125
2;18;0.951798;150460.718750;151026.000000
2;19;1.889351;152054.078125;154424.671875
2;20;2.618461;156398.578125;162306.796875
2;21;4.677700;164969.296875;168762.343750
2;22;0.880677;173449.078125;174449.312500
2;23;4.399277;175415.781250;175819.953125
2;24;2.307384;180300.921875;182461.781250
2;25;1.072464;184863.218750;185745.046875
2;26;1.290304;186824.265625;187691.031250
2;27;0.528730;189074.890625;191688.359375
2;28;1.669686;192245.859375;193111.437500
2;29;11.074730;194879.875000;195800.593750
2;30;0.393625;206932.218750;211737.906250
