
HORA INICIO DE MEDICION:  Fri Oct  7 11:23:26 2022

HORA FIN DE MEDICION: Fri Oct  7 11:28:26 2022
 

Parametros del experimento: 
Nº Usuarios: 500; Tpo. Reflex (seg): 2.000000; IP servidor: 192.168.203.244; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;1.003746;67303.617188;71433.953125
0;1;7.132606;72450.710938;76726.500000
0;2;0.350472;83860.046875;87390.539063
0;3;3.965363;87746.578125;91256.789063
0;4;0.899920;95234.226563;98609.531250
0;5;0.760543;99515.382813;103580.945313
0;6;3.099060;104356.218750;107770.171875
0;7;3.089311;110871.164063;115488.906250
0;8;3.355066;118593.367188;122751.156250
0;9;0.945325;126115.789063;129603.000000
0;10;0.247496;130549.187500;134547.218750
0;11;0.054259;134798.765625;138336.296875
0;12;0.314863;138391.250000;142603.609375
0;13;0.045873;142919.984375;145865.312500
0;14;3.658962;145920.765625;148990.765625
0;15;0.207895;152652.875000;156208.312500
0;16;1.520264;156424.718750;160379.125000
0;17;0.158662;161903.125000;165539.609375
0;18;7.236784;165700.109375;169814.687500
0;19;0.015810;177062.484375;180039.875000
0;20;0.697621;180066.265625;184290.796875
0;21;0.127194;184990.953125;189038.843750
0;22;7.967436;189177.078125;193749.125000
0;23;2.791909;201723.312500;205402.531250
0;24;2.913358;208207.187500;212075.375000
0;25;1.327059;214989.718750;219131.750000
0;26;0.747640;220471.859375;223996.437500
0;27;1.784309;224758.703125;228861.187500
0;28;4.124451;230655.234375;234237.468750
0;29;8.713845;238363.656250;241873.312500
0;30;0.750747;250598.906250;254302.640625
0;31;0.357028;255057.656250;259740.515625
0;32;0.266235;260106.781250;263597.812500
0;33;0.479879;263865.031250;267879.812500
0;34;0.153712;268369.406250;272985.375000
0;35;0.638213;273149.375000;277228.156250
0;36;2.716200;277867.218750;283131.125000
0;37;2.045189;285854.406250;289519.906250
0;38;0.007399;291568.156250;296191.468750
0;39;0.773710;296204.000000;300319.968750
0;40;5.145463;301105.500000;304624.281250
0;41;1.961923;309779.937500;314269.406250
0;42;7.301530;316231.593750;320635.937500
0;43;0.253307;327949.187500;331954.937500
0;44;6.190710;332218.781250;336945.062500
0;45;1.817653;343141.781250;348425.312500
0;46;3.630266;350250.062500;354867.218750
1;0;0.365657;61485.800781;66043.601563
1;1;3.569711;66423.640625;69467.328125
1;2;1.079781;73044.976563;75912.476563
1;3;6.704544;77003.101563;80529.507813
1;4;3.052467;87236.914063;90273.656250
1;5;0.823482;93331.875000;98454.656250
1;6;7.468089;99280.929688;102299.625000
1;7;2.221790;109775.203125;113756.359375
1;8;2.378479;115984.734375;119986.382813
1;9;7.390434;122369.710938;126076.656250
1;10;1.526278;133479.156250;136811.250000
1;11;3.093892;138344.171875;142404.984375
1;12;0.938482;145512.562500;149494.453125
1;13;2.184690;150446.359375;154010.671875
1;14;3.856668;156205.906250;159729.453125
1;15;6.088191;163594.953125;168240.125000
1;16;1.889665;174340.343750;177893.453125
1;17;1.059670;179793.328125;184121.140625
1;18;0.659658;185193.937500;188732.546875
1;19;1.652320;189401.046875;193910.390625
1;20;1.189674;195577.906250;199602.953125
1;21;4.553177;200798.750000;205454.765625
1;22;3.622782;210009.171875;213657.687500
1;23;3.620916;217280.625000;221347.406250
1;24;3.871416;224977.906250;229325.843750
1;25;3.520140;233204.781250;237769.234375
1;26;0.127129;241293.140625;246249.750000
1;27;2.323508;246385.015625;250040.484375
1;28;12.673469;252369.406250;255854.203125
1;29;1.396882;268541.687500;271568.562500
1;30;0.382583;272977.593750;277506.562500
1;31;1.881986;277900.843750;281476.031250
1;32;1.157950;283369.062500;287440.375000
1;33;1.733859;288609.718750;291572.468750
1;34;2.109162;293309.250000;296746.250000
1;35;0.754037;298859.375000;302186.343750
1;36;0.266095;302952.750000;306386.593750
1;37;1.399092;306656.375000;310856.812500
1;38;3.499667;312265.937500;316305.156250
1;39;0.751991;319806.562500;323815.875000
1;40;1.329787;324582.125000;328596.968750
1;41;1.641057;329936.718750;335065.218750
1;42;1.767104;336713.750000;339639.062500
1;43;0.426820;341415.781250;346122.250000
1;44;1.446331;346562.343750;350764.031250
1;45;0.074239;352223.718750;355704.906250
1;46;3.054433;355781.812500;359775.968750
2;0;6.353607;62407.750000;66417.609375
2;1;1.036785;72779.250000;76735.132813
2;2;3.350498;77778.101563;82265.343750
2;3;1.782522;85618.273438;89048.085938
2;4;0.050938;90842.132813;94373.742188
2;5;1.849868;94431.320313;98990.265625
2;6;0.357393;100847.812500;103875.585938
2;7;0.587302;104246.968750;108743.039063
2;8;0.440010;109336.265625;112286.054688
2;9;2.003040;112737.890625;116791.250000
2;10;0.720154;118797.578125;121737.437500
2;11;1.658045;122463.367188;126087.500000
2;12;4.274403;127747.234375;131968.468750
2;13;0.965796;136247.781250;140306.203125
2;14;2.573756;141281.859375;144740.593750
2;15;0.059911;147317.781250;151065.765625
2;16;0.098969;151128.000000;154614.171875
2;17;5.142266;154726.296875;158906.031250
2;18;3.091600;164063.781250;168683.671875
2;19;0.951798;171783.937500;176365.593750
2;20;1.889351;177328.062500;180854.203125
2;21;2.618461;182752.156250;187050.125000
2;22;4.677700;189682.359375;192180.609375
2;23;0.880677;196861.578125;199780.000000
2;24;4.399277;200671.625000;204658.890625
2;25;2.307384;209071.531250;212597.546875
2;26;1.072464;214911.125000;218911.328125
2;27;1.290304;219987.250000;224531.718750
2;28;0.528730;225827.437500;229948.984375
2;29;1.669686;230483.375000;234720.937500
2;30;11.074730;236403.484375;240539.453125
2;31;0.393625;251616.828125;254987.343750
2;32;1.071733;255387.125000;258361.343750
2;33;0.573188;259434.843750;263352.937500
2;34;5.389242;263927.750000;267536.062500
2;35;0.953370;272927.125000;276966.437500
2;36;4.307789;277932.093750;281527.875000
2;37;0.803954;285836.687500;289557.375000
2;38;0.246322;290363.500000;295124.593750
2;39;3.829151;295375.031250;298913.343750
2;40;1.235107;302749.593750;305736.968750
2;41;1.036887;306972.625000;311101.968750
2;42;0.208234;312140.406250;316243.718750
2;43;1.183928;316466.500000;320575.312500
2;44;1.761206;321769.375000;324799.781250
2;45;2.389738;326565.781250;330197.843750
2;46;0.111386;332593.906250;336757.718750
2;47;1.729072;336870.406250;340516.531250
2;48;2.420211;342259.562500;346325.562500
2;49;0.694854;348746.500000;352475.687500
2;50;8.034109;353176.968750;357177.093750
3;0;2.464924;61720.195313;65824.148438
3;1;1.241002;68294.515625;71775.523438
3;2;6.055153;73029.289063;75912.671875
3;3;0.053444;81968.375000;85957.554688
3;4;0.679278;86025.546875;91131.437500
3;5;0.455280;91811.343750;96366.031250
3;6;0.954648;96828.179688;100944.015625
3;7;1.432167;101911.398438;105526.257813
3;8;0.868296;106969.625000;110602.523438
3;9;7.387978;111480.679688;115959.812500
3;10;1.872623;123361.390625;126866.640625
3;11;4.429236;128749.953125;132355.781250
3;12;5.632955;136794.890625;140352.453125
3;13;0.636030;145998.906250;150096.125000
3;14;3.339122;150743.718750;154547.921875
3;15;0.336268;157893.515625;162493.718750
3;16;0.074176;162840.734375;166952.218750
3;17;3.011056;167033.531250;171613.046875
3;18;1.528374;174638.062500;179294.437500
3;19;1.017403;180828.328125;184441.171875
3;20;2.256193;185463.359375;189153.140625
3;21;5.070900;191424.578125;196169.515625
3;22;0.975515;201254.468750;204859.828125
3;23;1.854028;205845.515625;208847.968750
3;24;7.738439;210712.203125;214756.953125
3;25;2.104262;222503.734375;227182.078125
3;26;0.191304;229288.796875;234012.000000
3;27;0.926709;234205.562500;237739.562500
3;28;0.793398;238676.250000;242588.578125
3;29;2.998716;243390.453125;246824.609375
3;30;3.860871;249825.171875;254423.093750
3;31;2.359325;258288.781250;262246.312500
