Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Delay 1) 	Residence time (Delay 1) 	Utilization (Delay 1)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
5.0	 Peticiones	 4.979932978227032	 1.0	 4.979932978227032	 4.979932978227032	 0.004029576675169013	 0.019986647272336563
15.0	 Peticiones	 14.939181395439485	 1.0	 14.939181395439485	 14.939181395439485	 0.004071080131544754	 0.05995746336216846
26.0	 Peticiones	 25.893352078003424	 1.0	 25.893352078003424	 25.893352078003424	 0.004118737569214831	 0.10392133728388582
36.0	 Peticiones	 35.850717469921726	 1.0	 35.850717469921726	 35.850717469921726	 0.004164003975751107	 0.14388459597033024
46.0	 Peticiones	 45.80709515546593	 1.0	 45.80709515546593	 45.80709515546593	 0.004211243779579741	 0.1838438905594677
56.0	 Peticiones	 55.76241929180927	 1.0	 55.76241929180927	 55.76241929180927	 0.004260588245776334	 0.22379895679526113
67.0	 Peticiones	 66.71197310881603	 1.0	 66.71197310881603	 66.71197310881603	 0.004317469230211085	 0.26774430121792725
77.0	 Peticiones	 76.66484314678866	 1.0	 76.66484314678866	 76.66484314678866	 0.00437171511027069	 0.307689518084518
87.0	 Peticiones	 86.61641452036794	 1.0	 86.61641452036794	 86.61641452036794	 0.004428554122866284	 0.34762952284338194
97.0	 Peticiones	 96.56659217555605	 1.0	 96.56659217555605	 96.56659217555605	 0.004488175617257336	 0.38756393400128714
108.0	 Peticiones	 107.51005281759954	 1.0	 107.51005281759954	 107.51005281759954	 0.004557222041660719	 0.4314848238501082
118.0	 Peticiones	 117.45695076570249	 1.0	 117.45695076570249	 117.45695076570249	 0.004623389512135144	 0.4714060721102487
128.0	 Peticiones	 127.40209473788225	 1.0	 127.40209473788225	 127.40209473788225	 0.004693056761334328	 0.5113202808985219
138.0	 Peticiones	 137.34534247824868	 1.0	 137.34534247824868	 137.34534247824868	 0.00476650689378127	 0.5512268792798749
149.0	 Peticiones	 148.28053581924323	 1.0	 148.28053581924323	 148.28053581924323	 0.0048520473491802186	 0.595114588836776
159.0	 Peticiones	 158.21926593907375	 1.0	 158.21926593907375	 158.21926593907375	 0.004934506909082129	 0.6350030560327183
169.0	 Peticiones	 168.15554886653135	 1.0	 168.15554886653135	 168.15554886653135	 0.005021845185370225	 0.6748817015762449
179.0	 Peticiones	 178.08916223154122	 1.0	 178.08916223154122	 178.08916223154122	 0.00511450420140989	 0.7147496329990701
190.0	 Peticiones	 189.01275443548403	 1.0	 189.01275443548403	 189.01275443548403	 0.005223169026156618	 0.7585907821232857
200.0	 Peticiones	 198.93991020538994	 1.0	 198.93991020538994	 198.93991020538994	 0.0053286934407261385	 0.7984327963949895
