Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Delay 1) 	Residence time (Delay 1) 	Utilization (Delay 1)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
5.0	 Peticiones	 4.979932978227032	 1.0	 4.979932978227032	 4.979932978227032	 0.004029576675169013	 0.019986647272336563
31.0	 Peticiones	 30.872154337685974	 1.0	 30.872154337685974	 30.872154337685974	 0.004141131872937259	 0.12390344648857937
57.0	 Peticiones	 56.757891051159476	 1.0	 56.757891051159476	 56.757891051159476	 0.004265643848928572	 0.22779421998669233
83.0	 Peticiones	 82.63594769432335	 1.0	 82.63594769432335	 82.63594769432335	 0.004405495620662924	 0.331654170006462
109.0	 Peticiones	 108.5048177799033	 1.0	 108.5048177799033	 108.5048177799033	 0.004563688785701276	 0.4354772503561218
135.0	 Peticiones	 134.36257633309916	 1.0	 134.36257633309916	 134.36257633309916	 0.004744056598919563	 0.5392557352705845
161.0	 Peticiones	 160.20672505098958	 1.0	 160.20672505098958	 160.20672505098958	 0.004951570845468319	 0.6429795979684685
187.0	 Peticiones	 186.0339639520173	 1.0	 186.0339639520173	 186.0339639520173	 0.005192793979447068	 0.7466355941816925
213.0	 Peticiones	 211.83984582089232	 1.0	 211.83984582089232	 211.83984582089232	 0.005476562610834628	 0.8502058752918646
239.0	 Peticiones	 237.6182377772752	 1.0	 237.6182377772752	 237.6182377772752	 0.005815051216817613	 0.953665827370114
266.0	 Peticiones	 264.34966153685343	 1.0	 264.34966153685343	 264.34966153685343	 0.0062430133390449505	 1.0609507125494844
292.0	 Peticiones	 290.0408004074633	 1.0	 290.0408004074633	 290.0408004074633	 0.006754910308426951	 1.164060479864928
318.0	 Peticiones	 315.66291186632	 1.0	 315.66291186632	 315.66291186632	 0.0074037463567141765	 1.2668932100120276
344.0	 Peticiones	 341.1849610725752	 1.0	 341.1849610725752	 341.1849610725752	 0.008250770838712446	 1.3693243466122331
370.0	 Peticiones	 366.5550468444772	 1.0	 366.5550468444772	 366.5550468444772	 0.009398187762463005	 1.471145587542358
396.0	 Peticiones	 391.6806981002782	 1.0	 391.6806981002782	 391.6806981002782	 0.01102760978692902	 1.5719858059414862
422.0	 Peticiones	 416.38434666234116	 1.0	 416.38434666234116	 416.38434666234116	 0.013486706171048298	 1.6711323431154665
448.0	 Peticiones	 440.29533120700347	 1.0	 440.29533120700347	 440.29533120700347	 0.01749886552708913	 1.7670975731934424
474.0	 Peticiones	 462.58026118353473	 1.0	 462.58026118353473	 462.58026118353473	 0.024687043038212106	 1.856536735703662
500.0	 Peticiones	 481.3666115488583	 1.0	 481.3666115488583	 481.3666115488583	 0.03870934959777618	 1.9319345693548153
