Bloque	 Disponibilidad	 
Disco1	 0.9999897436949364	 
Discos	 0.9999999999999989	 
Switch	 0.9999839360010281	 
RAID 1	 0.9999999993688362	 
ControladoresCabina	 0.9999797472456253	 
Controladores	 0.9999797472456253	 
PSCabina	 0.9999238153283558	 
AlimentacionCabina	 0.9999999941958958	 
Cabina	 0.9999636771369582	 
MemoriaC2	 0.999973155083085	 
MemoriasC2	 0.9999999992793505	 
Ethernet2	 0.9999636376859024	 
So2	 0.999184339314845	 
PlacaBaseC2	 0.9999721262125097	 
ProcesadorC2	 0.9999847620789099	 
AlimentacionC2	 0.9999999941958958	 
Computador 2	 0.9991049255878287	 
MemoriaC1	 0.999973155083085	 
MemoriasC1	 0.9999999992793505	 
Ethernet1	 0.9999636376859024	 
SO1	 0.999184339314845	 
PlacaBaseC1	 0.9999721262125097	 
CPU1	 0.9999923810104304	 
ProcesadoresC1	 0.9999847620789099	 
PS1	 0.9999238153283558	 
AlimentacionC1	 0.9999999941958958	 
Computador 1	 0.9991049255878287	 
Computadores	 0.9999991988417967	 
SAI	 0.9999794876002543	 
Red Electrica	 0.994475138121547	 
Alimentacion	 0.9999998866718246	 
Bloque 1	 0.9999627626838871	 
