Bloque	 Disponibilidad	 
RAID 1	 0.9999999993688362	 
ControladoresCabina	 0.9999797472456253	 
Controladores	 0.9999797472456253	 
PSCabina	 0.9999238153283558	 
AlimentacionCabina	 0.9999999941958958	 
Cabina	 0.9999797408104877	 
Ethernet1	 0.9999636376859024	 
SO1	 0.9989273263609546	 
DiskC1	 0.9999897436949364	 
PlacaBaseC1	 0.9999490471823093	 
MemoriaC1	 0.999973155083085	 
CPU1	 0.9999923810104304	 
ProcesadoresC1	 0.9999923810104304	 
PS1	 0.9999238153283558	 
AlimentacionC1	 0.9999238153283558	 
Computador 1	 0.9987193460545027	 
Computadores	 0.9987193460545027	 
SAI	 0.9999593925119791	 
Red Electrica	 0.994475138121547	 
Alimentacion	 0.9999997756492375	 
Bloque 1	 0.9986988887510939	 
