
HORA INICIO DE MEDICION:  Fri Sep 30 11:15:08 2022

HORA FIN DE MEDICION: Fri Sep 30 11:20:08 2022
 

Parametros del experimento: 
Nº Usuarios: 90; Tpo. Reflex (seg): 1.250000; IP servidor: 192.168.203.244; Transitorio (seg): 0; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;5,351606;78,624954;947,891907
0;1;0,140689;6313,363770;7386,905273
0;2;0,152830;7553,371582;8234,141602
0;3;1,358400;8401,103516;8604,994141
0;4;1,749110;9975,057617;10382,082031
0;5;0,683072;12160,022461;12577,160156
0;6;1,430920;13284,506836;13723,841797
0;7;0,557971;15174,174805;15715,942383
0;8;1,450244;16311,034180;17076,271484
0;9;2,806224;18563,578125;19070,501953
0;10;0,627341;21879,843750;22700,972656
0;11;4,457879;23341,197266;23927,894531
0;12;0,219045;28392,320313;28726,525391
0;13;2,478352;28996,052734;29449,478516
0;14;0,562450;31928,148438;32293,121094
0;15;0,475340;32876,765625;33269,011719
0;16;1,936912;33753,222656;34115,796875
0;17;1,930819;36056,046875;36643,894531
0;18;2,096916;38586,183594;39069,546875
0;19;0,590828;41186,863281;41318,652344
0;20;0,154685;41942,917969;42398,125000
0;21;0,033912;42568,460938;42884,167969
0;22;0,196790;42979,035156;43748,019531
0;23;0,028670;43954,214844;44431,558594
0;24;2,286851;44466,890625;44641,421875
0;25;0,129934;46928,226563;47684,839844
0;26;0,950165;47853,828125;48279,125000
0;27;0,099164;49255,183594;49711,316406
0;28;4,522990;49818,894531;50212,890625
0;29;0,009881;54746,175781;55275,648438
0;30;0,436013;55305,640625;55684,453125
0;31;0,079496;56154,515625;56503,980469
0;32;4,979648;56596,460938;57239,074219
0;33;1,744943;62253,453125;62834,117188
0;34;1,820849;64618,585938;65170,546875
0;35;0,829412;67066,750000;67511,234375
0;36;0,467275;68375,179688;68925,023438
0;37;1,115193;69402,226563;69997,429688
0;38;2,577782;71141,085938;71580,500000
0;39;5,446153;74190,734375;74604,851563
0;40;0,469217;80096,476563;80454,265625
0;41;0,223143;80930,679688;81386,335938
0;42;0,166397;81641,421875;81932,382813
0;43;0,299924;82101,218750;82423,234375
0;44;0,096070;82727,851563;83059,210938
0;45;0,398883;83216,796875;83778,593750
0;46;1,697625;84256,507813;84859,203125
0;47;1,278243;86578,710938;86923,328125
0;48;0,004624;88206,398438;88813,914063
0;49;0,483569;88841,492188;89321,351563
0;50;3,215914;89809,023438;90193,351563
0;51;1,226202;93434,781250;94221,867188
0;52;4,563456;95453,000000;95649,890625
0;53;0,158317;100226,781250;100429,234375
0;54;3,869194;100625,625000;101077,835938
0;55;1,136033;104952,523438;105674,351563
0;56;2,268916;106811,203125;107154,734375
0;57;0,390878;109450,875000;109642,421875
0;58;0,077668;110059,781250;110436,890625
0;59;0,451409;110514,765625;110827,515625
0;60;1,127166;111310,343750;111892,179688
0;61;0,975132;113050,195313;113864,562500
0;62;0,130739;114892,593750;115566,867188
0;63;0,188778;115701,218750;115861,640625
0;64;1,250239;116072,640625;116421,914063
0;65;0,980052;117701,429688;118423,062500
0;66;0,758853;119405,765625;120188,429688
0;67;2,482236;120974,382813;121128,117188
0;68;0,808551;123630,429688;123979,812500
0;69;2,239280;124793,132813;125098,148438
0;70;0,988688;127387,359375;127710,492188
0;71;0,684654;128710,640625;129278,304688
0;72;0,200098;129975,351563;130276,906250
0;73;0,315932;130484,796875;130548,492188
0;74;2,063076;130871,593750;130988,468750
0;75;0,645111;133062,890625;133875,109375
0;76;1,613304;134545,531250;134949,015625
0;77;0,802592;136580,734375;137097,468750
0;78;0,812199;137919,328125;138281,921875
0;79;0,043710;139127,687500;139733,609375
0;80;0,273106;139801,296875;140982,453125
0;81;0,136257;141272,140625;141829,953125
0;82;0,054423;141981,078125;142589,703125
0;83;0,323865;142664,578125;143252,437500
0;84;0,288099;143590,546875;143934,468750
0;85;0,952615;144231,265625;144607,984375
0;86;1,419704;145595,546875;145987,390625
0;87;1,251796;147456,468750;148117,828125
0;88;1,882942;149406,046875;150175,000000
0;89;0,419950;152074,328125;152586,421875
0;90;0,960734;153015,125000;153469,484375
0;91;0,210303;154440,531250;155103,687500
0;92;1,212642;155404,468750;155695,968750
0;93;0,746177;156942,046875;157297,812500
0;94;0,290792;158083,390625;158188,265625
0;95;3,308742;158505,328125;158990,984375
0;96;0,126384;162353,031250;162982,593750
0;97;0,193490;163126,531250;163614,859375
0;98;0,320262;163822,281250;164499,812500
0;99;0,273439;164840,718750;165385,421875
0;100;0,763201;165667,578125;166506,562500
0;101;0,248014;167281,609375;167767,546875
0;102;3,465698;168024,218750;168475,375000
0;103;0,084507;171976,312500;172348,953125
0;104;0,724604;172466,281250;172928,406250
0;105;1,359871;173667,609375;174027,562500
0;106;1,109990;175434,812500;176081,343750
0;107;1,215665;177206,250000;178036,609375
0;108;2,075458;179270,187500;179671,031250
0;109;1,634421;181770,125000;182462,515625
0;110;4,620557;184122,125000;184744,875000
0;111;0,554459;189466,203125;190204,109375
0;112;3,720000;190772,562500;191127,359375
0;113;0,212652;194866,468750;195548,828125
0;114;0,856592;195762,359375;196195,468750
0;115;0,615176;197080,812500;198096,156250
0;116;0,110197;198729,734375;199190,640625
0;117;0,067440;199334,718750;199820,828125
0;118;3,835925;199925,640625;200378,031250
0;119;0,682677;204234,031250;204727,531250
0;120;0,357887;205457,312500;205697,031250
0;121;0,542449;206103,578125;206477,593750
0;122;3,663687;207039,296875;207433,968750
0;123;3,794752;211108,203125;211643,921875
0;124;1,047957;215491,406250;216077,437500
0;125;0,501274;217150,734375;217881,765625
0;126;0,278338;218396,531250;218861,015625
0;127;1,343002;219155,359375;219230,062500
0;128;4,138049;220599,296875;221327,921875
0;129;2,454751;225471,437500;225808,328125
0;130;1,384570;228306,515625;229019,734375
0;131;0,742026;230410,281250;230791,796875
0;132;2,635803;231567,625000;231705,359375
0;133;1,221531;234341,734375;235408,687500
0;134;1,880192;236689,781250;237171,796875
0;135;0,188689;239056,500000;239711,828125
0;136;0,132731;239919,265625;240298,046875
0;137;0,012576;240494,046875;240945,906250
0;138;1,165340;240962,906250;241059,437500
0;139;0,362365;242242,796875;242803,406250
0;140;0,432827;243216,843750;244123,593750
0;141;2,872408;244603,718750;244992,109375
0;142;0,654091;247883,343750;248239,906250
0;143;2,323512;248901,250000;249160,343750
0;144;0,473500;251520,109375;251876,546875
0;145;0,090562;252383,578125;252692,531250
0;146;0,384998;252817,703125;253220,109375
0;147;3,049125;253639,343750;254174,812500
0;148;3,525709;257229,812500;257591,843750
0;149;0,711932;261121,718750;261631,578125
0;150;0,369779;262351,093750;262849,187500
0;151;0,409954;263282,593750;263679,625000
0;152;0,057415;264105,468750;264246,531250
0;153;2,227891;264305,656250;264467,750000
0;154;3,797137;266714,750000;266974,718750
0;155;0,774137;270820,968750;271022,718750
0;156;2,671502;271845,156250;272454,500000
0;157;1,115193;275186,750000;275514,687500
0;158;1,168834;276683,500000;277125,968750
0;159;0,823058;278299,281250;279020,187500
0;160;0,922571;279865,375000;280044,187500
0;161;1,080308;280984,031250;281423,625000
0;162;2,615544;282504,656250;282738,937500
0;163;0,124233;285401,562500;285675,718750
0;164;0,072523;285807,875000;286057,250000
0;165;4,329693;286152,281250;286234,218750
0;166;0,647222;290655,531250;290961,843750
0;167;0,609510;291651,750000;291925,656250
0;168;1,350059;292578,343750;293653,562500
0;169;0,689811;295034,281250;295267,500000
0;170;0,176636;295957,625000;296245,406250
0;171;0,329413;296471,343750;296709,343750
0;172;0,139324;297092,718750;297670,781250
0;173;3,449326;297811,968750;299102,125000
1;0;5,308218;3,839675;936,815247
1;1;0,785098;6256,207031;6996,612305
1;2;0,616362;7799,198730;7941,274414
1;3;5,875105;8604,404297;8768,786133
1;4;0,247038;14657,559570;15173,798828
1;5;2,156506;15490,488281;16101,582031
1;6;0,289493;18264,474609;18895,482422
1;7;2,054560;19202,462891;19756,912109
1;8;0,228535;21817,849609;22521,337891
1;9;2,231070;22750,898438;23103,964844
1;10;0,674863;25400,957031;26058,271484
1;11;4,190340;26745,660156;27282,478516
1;12;1,907792;31505,279297;31998,068359
1;13;0,514676;33945,933594;34740,757813
1;14;4,667556;35343,414063;35911,878906
1;15;1,388618;40594,707031;40759,031250
1;16;1,486549;42150,269531;42839,191406
1;17;4,619021;44372,355469;45478,058594
1;18;0,953924;50119,531250;50790,222656
1;19;1,933683;51763,210938;52216,300781
1;20;0,586551;54151,964844;54717,824219
1;21;1,365432;55366,515625;55926,875000
1;22;2,410418;57317,000000;57796,363281
1;23;3,805119;60207,613281;60495,468750
1;24;1,181040;64363,281250;64451,765625
1;25;0,662294;65666,398438;66184,890625
1;26;0,412286;66858,898438;67309,601563
1;27;1,032700;67722,671875;68211,296875
1;28;0,743546;69253,234375;69684,796875
1;29;2,845736;70453,265625;70721,281250
1;30;2,264239;73574,390625;73838,984375
1;31;2,263072;76130,882813;76754,304688
1;32;2,419635;79062,148438;79682,437500
1;33;2,200088;82102,960938;83153,601563
1;34;0,079456;85381,593750;85556,468750
1;35;1,452193;85653,429688;85794,585938
1;36;7,920918;87293,210938;87764,132813
1;37;0,873051;95700,039063;96205,867188
1;38;0,239114;97126,671875;97270,570313
1;39;1,176241;97560,085938;97960,750000
1;40;0,723719;99155,929688;99414,531250
1;41;1,083662;100223,703125;100575,867188
1;42;1,318226;101664,765625;101844,226563
1;43;0,471273;103208,273438;103844,820313
1;44;0,166309;104320,804688;104858,164063
1;45;0,874432;105059,335938;105268,406250
1;46;2,187292;106150,867188;106660,234375
1;47;0,469994;108873,781250;109330,960938
1;48;0,831117;109894,820313;110393,820313
1;49;1,025661;111248,070313;111455,375000
1;50;1,104440;112499,070313;113803,179688
1;51;0,266762;114942,812500;115566,976563
1;52;0,903957;115861,984375;116130,976563
1;53;0,046400;117048,914063;117902,734375
1;54;1,909021;117967,031250;118543,773438
1;55;1,837661;120465,406250;120883,335938
1;56;0,198935;122720,656250;122973,484375
1;57;0,737544;123180,617188;123590,031250
1;58;0,688817;124358,343750;124562,796875
1;59;2,661519;125257,585938;125478,882813
1;60;2,001426;128152,210938;128323,679688
1;61;0,424656;130375,914063;130738,445313
1;62;0,384168;131167,109375;131923,937500
1;63;5,379509;132339,343750;132771,843750
1;64;0,638672;138183,875000;138525,796875
1;65;0,483400;139230,468750;139854,734375
1;66;2,624854;140371,468750;140884,031250
1;67;0,521432;143565,390625;143934,796875
1;68;1,878134;144502,046875;145089,046875
1;69;2,014547;146972,015625;147333,078125
1;70;1,989565;149356,578125;149884,593750
1;71;3,332107;151960,187500;152493,046875
