
HORA INICIO DE MEDICION:  Fri Oct  7 10:05:58 2022

HORA FIN DE MEDICION: Fri Oct  7 10:10:58 2022
 

Parametros del experimento: 
Nº Usuarios: 5; Tpo. Reflex (seg): 2.000000; IP servidor: 192.168.203.244; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;0.015810;64533.375000;64561.242188
0;1;0.697621;64580.695313;64655.332031
0;2;0.127194;65355.214844;65407.636719
0;3;7.967436;65542.710938;65573.882813
0;4;2.791909;73543.578125;73580.656250
0;5;2.913358;76372.007813;76420.054688
0;6;1.327059;79341.625000;79390.695313
0;7;0.747640;80732.406250;80887.007813
0;8;1.784309;81638.750000;81681.210938
0;9;4.124451;83467.078125;83509.109375
0;10;8.713845;87639.484375;87683.750000
0;11;0.750747;96403.632813;96446.531250
0;12;0.357028;97202.187500;97246.773438
0;13;0.266235;97608.445313;97644.734375
0;14;0.479879;97921.015625;97947.265625
0;15;0.153712;98436.687500;98472.718750
0;16;0.638213;98639.835938;98677.007813
0;17;2.716200;99327.414063;99376.062500
0;18;2.045189;102106.234375;102159.632813
0;19;0.007399;104214.031250;104262.226563
0;20;0.773710;104277.062500;104303.531250
0;21;5.145463;105078.664063;105143.968750
0;22;1.961923;110296.750000;110347.117188
0;23;7.301530;112314.242188;112352.804688
0;24;0.253307;119664.890625;119711.812500
0;25;6.190710;119970.132813;120025.523438
0;26;1.817653;126228.960938;126266.492188
0;27;3.630266;128087.750000;128113.992188
0;28;0.625405;131755.703125;131798.875000
0;29;0.124269;132427.640625;132471.000000
0;30;0.722255;132599.500000;132645.093750
0;31;1.803466;133380.953125;133416.859375
0;32;1.560212;135230.703125;135274.046875
0;33;0.209182;136840.187500;136889.281250
0;34;0.302045;137105.937500;137154.562500
0;35;2.000382;137470.734375;137506.500000
0;36;1.568084;139517.453125;139554.875000
0;37;1.214165;141138.015625;141187.203125
0;38;3.971578;142414.812500;142449.468750
0;39;1.293682;146429.750000;146477.484375
0;40;3.582848;147771.234375;147802.343750
0;41;1.581902;151399.937500;151447.359375
0;42;1.095447;153037.015625;153083.875000
0;43;0.320157;154188.218750;154225.640625
0;44;0.505491;154561.328125;154598.609375
0;45;3.300922;155108.265625;155134.562500
0;46;1.032177;158439.015625;158476.015625
0;47;2.581286;159521.390625;159595.609375
0;48;1.284147;162184.609375;162210.578125
0;49;1.299518;163503.453125;163555.796875
0;50;0.069936;164862.953125;164900.890625
0;51;0.436970;164972.343750;165009.734375
0;52;0.218011;165456.781250;165488.593750
0;53;0.087076;165706.796875;165729.406250
0;54;0.518184;165831.843750;165863.000000
0;55;0.460959;166394.375000;166436.500000
0;56;1.524184;166910.046875;166941.453125
0;57;2.271527;168472.718750;168520.562500
0;58;2.002873;170802.171875;170850.359375
0;59;3.012707;172864.875000;172914.250000
0;60;0.671919;175928.000000;175971.609375
0;61;1.537174;176646.875000;176702.062500
0;62;0.336484;178240.781250;178289.250000
0;63;1.940228;178631.453125;178669.187500
0;64;1.193882;180616.031250;180663.109375
0;65;0.465268;181866.171875;181892.359375
0;66;5.293986;182368.750000;182394.812500
0;67;0.202214;187696.312500;187733.984375
0;68;0.309583;187946.343750;187971.406250
0;69;0.512419;188290.125000;188312.875000
0;70;0.437502;188832.031250;188900.750000
0;71;1.221121;189347.531250;189384.312500
0;72;0.396823;190605.625000;190636.750000
0;73;5.545116;191046.718750;191105.968750
0;74;0.135210;196653.875000;196719.312500
0;75;1.159367;196857.031250;196894.921875
0;76;2.175794;198060.281250;198086.656250
0;77;1.775985;200263.640625;200318.875000
0;78;1.945064;202101.046875;202127.062500
0;79;3.320733;204085.640625;204146.296875
0;80;2.615073;207468.484375;207513.156250
0;81;7.392892;210140.640625;210175.375000
0;82;0.887134;217578.937500;217606.906250
0;83;5.951999;218500.921875;218533.875000
0;84;0.340243;224485.953125;224516.968750
0;85;1.370548;224860.984375;224887.140625
0;86;0.984282;226270.281250;226311.984375
0;87;0.176316;227301.625000;227351.421875
0;88;0.107904;227537.125000;227611.515625
0;89;6.137480;227731.234375;227768.187500
0;90;1.092283;233914.968750;233950.953125
0;91;0.572619;235055.703125;235081.593750
0;92;0.867919;235665.140625;235717.375000
0;93;5.861899;236591.187500;236640.750000
0;94;6.071603;242509.109375;242559.140625
0;95;1.676731;248637.859375;248686.031250
0;96;0.802039;250369.343750;250395.500000
0;97;0.445341;251207.750000;251239.031250
0;98;2.148803;251696.203125;251743.781250
0;99;6.620879;253893.234375;253935.046875
0;100;3.927601;260564.156250;260599.796875
0;101;2.215312;264540.718750;264579.093750
0;102;1.187241;266800.250000;266839.281250
0;103;4.217286;268033.187500;268118.968750
0;104;1.954449;272342.562500;272371.781250
0;105;3.008307;274340.500000;274382.718750
0;106;0.301903;277402.937500;277451.031250
0;107;0.212370;277757.781250;277800.625000
0;108;0.020121;278026.062500;278048.437500
0;109;1.864544;278072.937500;278105.968750
0;110;0.579784;279976.562500;280002.843750
0;111;0.692523;280593.718750;280619.750000
0;112;4.595853;281323.562500;281384.375000
0;113;1.046546;285989.718750;286016.062500
0;114;3.717620;287077.093750;287113.968750
0;115;0.757599;290844.437500;290886.937500
0;116;0.144899;291657.437500;291699.625000
0;117;0.615998;291856.718750;291898.625000
0;118;4.878600;292522.531250;292575.562500
0;119;5.641135;297464.062500;297491.093750
0;120;1.139091;303133.937500;303170.156250
0;121;0.591646;304314.531250;304381.031250
0;122;0.655927;304986.500000;305019.000000
0;123;0.091863;305689.687500;305731.906250
0;124;3.564626;305830.343750;305885.031250
0;125;6.075419;309457.500000;309494.687500
0;126;1.238619;315580.687500;315624.312500
0;127;4.274403;316877.718750;316915.593750
0;128;1.784309;321190.656250;321228.062500
0;129;1.870134;323018.968750;323041.687500
0;130;1.316893;324925.437500;324969.000000
0;131;1.476114;326300.593750;326337.375000
0;132;1.728492;327816.375000;327842.218750
0;133;4.184870;329582.187500;329634.625000
0;134;0.198773;333824.843750;333857.531250
0;135;0.116037;334059.218750;334086.250000
0;136;6.927508;334215.343750;334246.375000
0;137;1.035555;341174.562500;341210.906250
0;138;0.975216;342252.843750;342294.281250
0;139;2.160094;343284.187500;343322.718750
0;140;1.103697;345487.562500;345521.937500
0;141;0.282618;346628.312500;346660.968750
0;142;0.527062;346956.437500;346996.656250
0;143;0.222918;347534.656250;347565.656250
0;144;5.518921;347800.281250;347843.125000
0;145;2.193078;353366.218750;353391.468750
0;146;1.678284;355597.968750;355635.437500
0;147;3.402337;357316.906250;357339.375000
1;0;1.526278;66714.718750;66750.976563
1;1;3.093892;68277.382813;68333.343750
1;2;0.938482;71433.968750;71471.515625
1;3;2.184690;72418.453125;72450.968750
1;4;3.856668;74637.453125;74688.812500
1;5;6.088191;78559.750000;78592.835938
1;6;1.889665;84685.960938;84728.679688
1;7;1.059670;86623.664063;86672.570313
1;8;0.659658;87733.179688;87770.312500
1;9;1.652320;88432.921875;88477.320313
1;10;1.189674;90131.679688;90181.078125
1;11;4.553177;91374.445313;91423.796875
1;12;3.622782;95981.710938;96009.226563
1;13;3.620916;99639.953125;99667.023438
1;14;3.871416;103291.484375;103338.570313
1;15;3.520140;107223.609375;107266.976563
1;16;0.127129;110801.226563;110833.820313
1;17;2.323508;110973.195313;111017.367188
1;18;12.673469;113345.226563;113377.718750
1;19;1.396882;126057.070313;126089.953125
1;20;0.382583;127501.062500;127533.140625
1;21;1.881986;127915.875000;127953.851563
1;22;1.157950;129841.609375;129869.101563
1;23;1.733859;131036.882813;131062.867188
1;24;2.109162;132802.687500;132846.609375
1;25;0.754037;134957.984375;134991.343750
1;26;0.266095;135746.390625;135785.328125
1;27;1.399092;136058.921875;136107.750000
1;28;3.499667;137517.625000;137544.062500
1;29;0.751991;141044.250000;141074.421875
1;30;1.329787;141840.734375;141884.578125
1;31;1.641057;143227.390625;143254.750000
1;32;1.767104;144896.906250;144923.500000
1;33;0.426820;146691.906250;146733.265625
1;34;1.446331;147168.796875;147211.390625
1;35;0.074239;148668.140625;148701.046875
1;36;3.054433;148778.359375;148805.484375
1;37;2.940257;151861.187500;151904.625000
1;38;0.318296;154858.218750;154897.328125
1;39;1.180071;155217.609375;155267.265625
1;40;1.102108;156458.796875;156502.546875
1;41;4.258430;157610.234375;157641.953125
1;42;3.202282;161903.328125;161936.343750
1;43;0.679449;165144.234375;165195.046875
