
HORA INICIO DE MEDICION:  Fri Oct 14 10:44:49 2022

HORA FIN DE MEDICION: Fri Oct 14 10:49:49 2022
 

Parametros del experimento: 
Nº Usuarios: 150; Tpo. Reflex (seg): 2.000000; IP servidor: 192.168.203.244; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;3.965363;61272.152344;62407.578125
0;1;0.899920;66414.296875;66610.468750
0;2;0.760543;67570.960938;70314.171875
0;3;3.099060;71101.335938;71400.718750
0;4;3.089311;74594.015625;74805.765625
0;5;3.355066;77978.929688;81237.804688
0;6;0.945325;84632.140625;89222.070313
0;7;0.247496;90236.296875;92370.015625
0;8;0.054259;92706.406250;96276.750000
0;9;0.314863;96402.382813;99848.156250
0;10;0.045873;100210.000000;103118.453125
0;11;3.658962;103264.390625;105983.968750
0;12;0.207895;109710.960938;113201.851563
0;13;1.520264;113508.773438;115978.625000
0;14;0.158662;117569.742188;119097.804688
0;15;7.236784;119348.195313;126170.578125
0;16;0.015810;133484.031250;138939.453125
0;17;0.697621;139044.406250;139544.593750
0;18;0.127194;140279.765625;142932.125000
0;19;7.967436;143126.187500;148471.968750
0;20;2.791909;156468.765625;159929.093750
0;21;2.913358;162745.609375;168709.328125
0;22;1.327059;171719.015625;175151.359375
0;23;0.747640;176542.890625;179504.640625
0;24;1.784309;180295.687500;180746.875000
0;25;4.124451;182544.984375;185011.921875
0;26;8.713845;189193.859375;191614.921875
0;27;0.750747;200357.890625;204366.390625
0;28;0.357028;205145.734375;206877.937500
0;29;0.266235;207272.406250;207367.578125
0;30;0.479879;207664.250000;210069.718750
0;31;0.153712;210576.453125;210674.140625
0;32;0.638213;210876.593750;215165.218750
0;33;2.716200;215847.093750;220727.218750
0;34;2.045189;223542.000000;223695.593750
0;35;0.007399;225821.812500;226024.937500
0;36;0.773710;226079.421875;226226.671875
0;37;5.145463;227018.015625;227243.796875
0;38;1.961923;232455.421875;236526.046875
0;39;7.301530;238536.718750;240368.421875
0;40;0.253307;247762.203125;251654.140625
0;41;6.190710;251932.421875;256028.562500
0;42;1.817653;262236.687500;264680.625000
0;43;3.630266;266508.343750;270122.156250
0;44;0.625405;273835.437500;274235.906250
0;45;0.124269;274894.531250;279082.781250
0;46;0.722255;279234.937500;285408.781250
0;47;1.803466;286234.531250;290986.531250
0;48;1.560212;292882.906250;293033.937500
0;49;0.209182;294674.625000;298397.281250
0;50;0.302045;298682.875000;302931.875000
0;51;2.000382;303285.281250;306121.812500
0;52;1.568084;308127.468750;310921.125000
0;53;1.214165;312563.750000;319143.062500
0;54;3.971578;320457.375000;320784.968750
0;55;1.293682;324817.906250;324972.937500
0;56;3.582848;326332.406250;330356.562500
0;57;1.581902;333990.062500;338168.750000
0;58;1.095447;339776.437500;343706.937500
0;59;0.320157;344836.718750;348405.875000
0;60;0.505491;348777.218750;348874.656250
0;61;3.300922;349429.218750;352384.531250
0;62;1.032177;355731.718750;355965.343750
1;0;3.052467;64827.871094;69239.906250
1;1;0.823482;72309.078125;72463.898438
1;2;7.468089;73334.414063;74708.765625
1;3;2.221790;82202.632813;85057.765625
1;4;2.378479;87302.968750;90162.296875
1;5;7.390434;92560.078125;95880.320313
1;6;1.526278;103292.218750;106975.000000
1;7;3.093892;108556.773438;112548.031250
1;8;0.938482;115676.140625;116695.039063
1;9;2.184690;117672.562500;120138.640625
1;10;3.856668;122328.593750;129544.992188
1;11;6.088191;133436.609375;141577.265625
1;12;1.889665;147688.390625;152272.328125
1;13;1.059670;154187.156250;157550.109375
1;14;0.659658;158613.218750;160232.234375
1;15;1.652320;160939.859375;161950.265625
1;16;1.189674;163618.890625;168838.406250
1;17;4.553177;170038.921875;174643.359375
1;18;3.622782;179217.078125;181103.453125
1;19;3.620916;184763.250000;184864.265625
1;20;3.871416;188525.875000;191261.250000
1;21;3.520140;195163.359375;199849.140625
1;22;0.127129;203415.953125;203912.359375
1;23;2.323508;204116.250000;206125.937500
1;24;12.673469;208478.390625;213006.000000
1;25;1.396882;225725.375000;226917.078125
1;26;0.382583;228333.375000;232253.765625
1;27;1.881986;232657.125000;236732.781250
1;28;1.157950;238633.359375;242737.656250
1;29;1.733859;243923.750000;248714.796875
1;30;2.109162;250480.281250;256798.156250
1;31;0.754037;258925.453125;259981.593750
1;32;0.266095;260751.046875;261164.328125
1;33;1.399092;261452.078125;263843.875000
1;34;3.499667;265283.000000;267919.937500
1;35;0.751991;271421.500000;275091.875000
1;36;1.329787;275861.187500;279868.906250
1;37;1.641057;281202.625000;284190.250000
1;38;1.767104;285855.187500;292786.968750
1;39;0.426820;294600.781250;298376.250000
1;40;1.446331;298837.031250;299001.406250
1;41;0.074239;300483.875000;304559.593750
1;42;3.054433;304658.437500;309127.937500
1;43;2.940257;312196.593750;317992.687500
1;44;0.318296;320964.593750;323748.437500
1;45;1.180071;324107.125000;327395.000000
1;46;1.102108;328607.875000;332324.531250
1;47;4.258430;333451.375000;333757.093750
1;48;3.202282;338021.218750;341115.218750
1;49;0.679449;344336.031250;344534.000000
