
HORA INICIO DE MEDICION:  Fri Oct  7 11:15:10 2022

HORA FIN DE MEDICION: Fri Oct  7 11:20:10 2022
 

Parametros del experimento: 
Nº Usuarios: 250; Tpo. Reflex (seg): 2.000000; IP servidor: 192.168.203.244; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;3.355066;62391.402344;63534.976563
0;1;0.945325;66900.921875;67697.085938
0;2;0.247496;68654.234375;69628.414063
0;3;0.054259;69883.296875;71139.460938
0;4;0.314863;71203.101563;72068.757813
0;5;0.045873;72395.328125;73443.023438
0;6;3.658962;73489.117188;74426.070313
0;7;0.207895;78096.320313;79204.031250
0;8;1.520264;79416.539063;80427.242188
0;9;0.158662;81952.335938;82871.320313
0;10;7.236784;83034.820313;83978.351563
0;11;0.015810;91226.140625;91857.875000
0;12;0.697621;91885.234375;92625.562500
0;13;0.127194;93326.546875;94398.718750
0;14;7.967436;94526.851563;95834.781250
0;15;2.791909;103803.710938;104702.312500
0;16;2.913358;107496.414063;108361.296875
0;17;1.327059;111287.390625;112118.406250
0;18;0.747640;113449.515625;114372.046875
0;19;1.784309;115123.156250;116048.078125
0;20;4.124451;117835.445313;118982.523438
0;21;8.713845;123116.218750;124017.078125
0;22;0.750747;132742.468750;133592.328125
0;23;0.357028;134357.765625;135096.828125
0;24;0.266235;135461.343750;136449.484375
0;25;0.479879;136730.546875;137733.593750
0;26;0.153712;138216.125000;139480.890625
0;27;0.638213;139638.109375;140558.765625
0;28;2.716200;141208.718750;141952.375000
0;29;2.045189;144683.531250;145718.593750
0;30;0.007399;147767.625000;148916.390625
0;31;0.773710;148926.750000;149938.437500
0;32;5.145463;150714.921875;151699.406250
0;33;1.961923;156858.703125;158090.484375
0;34;7.301530;160051.859375;161137.734375
0;35;0.253307;168451.328125;169142.640625
0;36;6.190710;169405.062500;170228.125000
0;37;1.817653;176419.562500;177513.421875
0;38;3.630266;179331.000000;180128.984375
0;39;0.625405;183770.265625;184875.156250
0;40;0.124269;185504.859375;186482.546875
0;41;0.722255;186614.328125;187535.343750
0;42;1.803466;188260.500000;189321.453125
0;43;1.560212;191137.046875;192242.484375
0;44;0.209182;193809.734375;194794.859375
0;45;0.302045;195016.484375;196085.218750
0;46;2.000382;196398.796875;196934.109375
0;47;1.568084;198939.390625;199927.515625
0;48;1.214165;201503.218750;202297.843750
0;49;3.971578;203521.375000;204435.390625
0;50;1.293682;208411.656250;209372.687500
0;51;3.582848;210667.781250;211631.609375
0;52;1.581902;215224.656250;216269.203125
0;53;1.095447;217851.437500;218636.140625
0;54;0.320157;219742.859375;220358.578125
0;55;0.505491;220682.109375;221597.984375
0;56;3.300922;222112.890625;223319.218750
0;57;1.032177;226623.625000;227541.515625
0;58;2.581286;228582.062500;229859.203125
0;59;1.284147;232446.000000;234148.328125
0;60;1.299518;235440.218750;236692.156250
0;61;0.069936;238002.078125;239011.703125
0;62;0.436970;239083.359375;240475.531250
0;63;0.218011;240913.078125;242007.109375
0;64;0.087076;242239.140625;243319.843750
0;65;0.518184;243411.531250;244349.109375
0;66;0.460959;244882.125000;245676.593750
0;67;1.524184;246144.125000;247171.921875
0;68;2.271527;248703.234375;249855.734375
0;69;2.002873;252138.953125;253097.171875
0;70;3.012707;255109.156250;256202.718750
0;71;0.671919;259220.046875;260243.171875
0;72;1.537174;260920.703125;261935.140625
0;73;0.336484;263481.156250;264489.843750
0;74;1.940228;264826.031250;265880.406250
0;75;1.193882;267826.312500;268762.250000
0;76;0.465268;269963.750000;270937.500000
0;77;5.293986;271409.406250;272421.968750
0;78;0.202214;277722.562500;278595.437500
0;79;0.309583;278800.968750;279916.281250
0;80;0.512419;280239.156250;280899.031250
0;81;0.437502;281414.906250;282373.250000
0;82;1.221121;282814.750000;283755.875000
0;83;0.396823;284990.937500;285758.812500
0;84;5.545116;286168.218750;287433.062500
0;85;0.135210;292978.968750;294061.250000
0;86;1.159367;294201.906250;295526.343750
0;87;2.175794;296687.781250;297640.781250
0;88;1.775985;299827.812500;300909.593750
0;89;1.945064;302690.375000;303709.906250
0;90;3.320733;305655.625000;306704.187500
0;91;2.615073;310030.812500;311363.250000
0;92;7.392892;313993.781250;315048.312500
0;93;0.887134;322446.062500;323388.968750
0;94;5.951999;324284.500000;325148.218750
0;95;0.340243;331111.718750;331966.968750
0;96;1.370548;332311.625000;333522.937500
0;97;0.984282;334902.312500;335823.625000
0;98;0.176316;336822.062500;337818.687500
0;99;0.107904;338010.125000;338911.312500
0;100;6.137480;339026.250000;340007.406250
0;101;1.092283;346151.812500;346962.250000
0;102;0.572619;348055.906250;348893.468750
0;103;0.867919;349473.468750;350472.562500
0;104;5.861899;351343.781250;352279.875000
0;105;6.071603;358149.656250;359003.500000
1;0;2.221790;66147.125000;67042.906250
1;1;2.378479;69266.289063;70471.367188
1;2;7.390434;72864.093750;73728.179688
1;3;1.526278;81123.687500;82065.460938
1;4;3.093892;83597.359375;84563.226563
1;5;0.938482;87670.671875;88630.632813
1;6;2.184690;89583.281250;90779.796875
1;7;3.856668;92964.546875;94306.375000
1;8;6.088191;98168.078125;99125.046875
1;9;1.889665;105226.273438;106089.257813
1;10;1.059670;107984.984375;108964.562500
1;11;0.659658;110028.156250;111017.726563
1;12;1.652320;111678.257813;112525.359375
1;13;1.189674;114185.140625;115158.851563
1;14;4.553177;116360.750000;117543.070313
1;15;3.622782;122108.460938;123026.179688
1;16;3.620916;126653.578125;127870.976563
1;17;3.871416;131505.312500;132434.843750
1;18;3.520140;136307.593750;137161.328125
1;19;0.127129;140690.453125;141737.437500
1;20;2.323508;141865.046875;142640.625000
1;21;12.673469;144964.875000;146017.109375
1;22;1.396882;158702.625000;159812.437500
1;23;0.382583;161220.062500;162190.140625
1;24;1.881986;162583.484375;163461.328125
1;25;1.157950;165351.515625;166482.703125
1;26;1.733859;167653.468750;168608.796875
1;27;2.109162;170345.906250;171336.234375
1;28;0.754037;173455.812500;174293.875000
1;29;0.266095;175049.781250;175957.796875
1;30;1.399092;176232.062500;177339.718750
1;31;3.499667;178750.546875;179457.125000
1;32;0.751991;182959.546875;184069.281250
1;33;1.329787;184832.828125;185748.734375
1;34;1.641057;187084.875000;188165.265625
1;35;1.767104;189809.078125;190710.296875
1;36;0.426820;192481.515625;193799.234375
1;37;1.446331;194231.890625;195430.578125
1;38;0.074239;196887.828125;197656.000000
1;39;3.054433;197731.921875;198512.546875
1;40;2.940257;201581.468750;202366.281250
1;41;0.318296;205309.484375;206299.906250
1;42;1.180071;206633.078125;207747.484375
1;43;1.102108;208927.765625;209838.562500
1;44;4.258430;210949.578125;211998.625000
1;45;3.202282;216272.250000;217298.328125
1;46;0.679449;220510.265625;221589.500000
1;47;0.614669;222269.093750;223320.890625
1;48;8.607215;223941.859375;224914.484375
1;49;1.021875;233529.265625;234927.031250
1;50;0.773441;235963.156250;237258.421875
1;51;4.199766;238035.593750;239137.015625
1;52;0.834291;243349.062500;244327.859375
1;53;3.005014;245163.359375;246205.484375
1;54;3.223275;249218.765625;250533.375000
1;55;3.183304;253758.609375;254689.687500
1;56;5.331370;257875.781250;258924.750000
1;57;2.487449;264262.500000;265138.500000
