
HORA INICIO DE MEDICION:  Fri Oct 14 10:26:44 2022

HORA FIN DE MEDICION: Fri Oct 14 10:31:44 2022
 

Parametros del experimento: 
Nº Usuarios: 150; Tpo. Reflex (seg): 2.000000; IP servidor: 192.168.203.244; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;2.320390;63744.777344;65862.132813
0;1;4.489958;68212.265625;68571.671875
0;2;1.003746;73158.023438;77855.546875
0;3;7.132606;78957.351563;82348.546875
0;4;0.350472;89546.390625;93186.046875
0;5;3.965363;93580.968750;94081.203125
0;6;0.899920;98120.796875;101573.921875
0;7;0.760543;102495.953125;102733.585938
0;8;3.099060;103497.070313;103707.429688
0;9;3.089311;106886.187500;110585.007813
0;10;3.355066;113764.414063;117114.156250
0;11;0.945325;120546.031250;122660.804688
0;12;0.247496;123668.343750;128841.218750
0;13;0.054259;129101.000000;132094.531250
0;14;0.314863;132155.453125;134329.546875
0;15;0.045873;134655.703125;140003.375000
0;16;3.658962;140062.531250;140142.812500
0;17;0.207895;143812.937500;145786.843750
0;18;1.520264;146000.671875;148044.187500
0;19;0.158662;149579.203125;151780.093750
0;20;7.236784;151938.796875;153715.328125
0;21;0.015810;160955.375000;161942.812500
0;22;0.697621;161971.109375;165945.843750
0;23;0.127194;166643.484375;168540.171875
0;24;7.967436;168674.953125;170610.734375
0;25;2.791909;178582.250000;178891.640625
0;26;2.913358;181691.953125;181768.468750
0;27;1.327059;184692.265625;187546.703125
0;28;0.747640;188880.250000;192157.125000
0;29;1.784309;192911.906250;196595.015625
0;30;4.124451;198381.218750;202145.140625
0;31;8.713845;206272.671875;206425.265625
0;32;0.750747;215148.750000;215274.078125
0;33;0.357028;216039.359375;219009.468750
0;34;0.266235;219367.843750;219604.562500
0;35;0.479879;219883.562500;221720.109375
0;36;0.153712;222211.875000;222428.046875
0;37;0.638213;222586.937500;224130.281250
0;38;2.716200;224774.656250;226101.703125
0;39;2.045189;228821.984375;235784.906250
0;40;0.007399;237838.546875;238746.203125
0;41;0.773710;238760.546875;239026.078125
0;42;5.145463;239807.546875;240173.765625
0;43;1.961923;245323.718750;247219.750000
0;44;7.301530;249183.500000;249610.000000
0;45;0.253307;256918.703125;262049.515625
0;46;6.190710;262309.906250;262452.781250
0;47;1.817653;268654.312500;268765.187500
0;48;3.630266;270592.031250;270809.187500
0;49;0.625405;274451.812500;279398.968750
0;50;0.124269;280030.531250;280954.187500
0;51;0.722255;281093.125000;283944.000000
0;52;1.803466;284671.625000;288348.125000
0;53;1.560212;290156.593750;292882.843750
0;54;0.209182;294453.968750;294509.187500
0;55;0.302045;294719.656250;294874.156250
0;56;2.000382;295188.406250;298133.093750
0;57;1.568084;300142.062500;302935.750000
0;58;1.214165;304517.500000;310383.843750
0;59;3.971578;311612.000000;314547.406250
0;60;1.293682;318519.000000;321278.000000
0;61;3.582848;322581.906250;325454.281250
0;62;1.581902;329051.343750;331627.656250
0;63;1.095447;333223.656250;336099.875000
0;64;0.320157;337208.468750;339122.781250
0;65;0.505491;339443.093750;339557.468750
0;66;3.300922;340068.156250;342450.468750
0;67;1.032177;345756.250000;346043.437500
0;68;2.581286;347084.531250;349236.812500
0;69;1.284147;351819.406250;355503.000000
0;70;1.299518;356788.656250;359093.218750
1;0;3.287296;61525.746094;67450.101563
1;1;0.365657;70766.007813;76157.726563
1;2;3.569711;76530.945313;81171.835938
1;3;1.079781;84784.671875;86410.171875
1;4;6.704544;87508.085938;87625.257813
1;5;3.052467;94382.578125;98732.820313
1;6;0.823482;101792.851563;104768.257813
1;7;7.468089;105646.250000;110222.765625
1;8;2.221790;117701.101563;120682.093750
1;9;2.378479;122921.453125;123872.007813
1;10;7.390434;126267.078125;130384.898438
1;11;1.526278;137781.046875;142575.640625
1;12;3.093892;144109.828125;145986.312500
1;13;0.938482;149094.750000;150582.578125
1;14;2.184690;151532.515625;151702.484375
1;15;3.856668;153892.156250;156344.203125
1;16;6.088191;160205.312500;166729.890625
1;17;1.889665;172831.640625;174097.125000
1;18;1.059670;175988.218750;183949.156250
1;19;0.659658;185020.437500;187685.265625
1;20;1.652320;188348.921875;191749.046875
1;21;1.189674;193411.968750;197587.828125
1;22;4.553177;198787.531250;203005.750000
1;23;3.622782;207569.703125;208695.234375
1;24;3.620916;212320.218750;216546.984375
1;25;3.871416;220180.406250;220510.781250
1;26;3.520140;224383.984375;232228.640625
1;27;0.127129;235760.187500;235977.281250
1;28;2.323508;236119.609375;236201.875000
1;29;12.673469;238526.125000;238628.453125
1;30;1.396882;251308.718750;256043.265625
1;31;0.382583;257450.000000;257504.843750
1;32;1.881986;257887.546875;262353.218750
1;33;1.157950;264247.593750;264322.093750
1;34;1.733859;265482.093750;270693.500000
1;35;2.109162;272435.968750;277253.531250
1;36;0.754037;279374.218750;284424.500000
1;37;0.266095;285187.312500;292402.312500
1;38;1.399092;292672.531250;294495.500000
1;39;3.499667;295907.218750;299403.593750
1;40;0.751991;302907.968750;307346.437500
1;41;1.329787;308111.625000;309259.500000
1;42;1.641057;310596.281250;313913.812500
1;43;1.767104;315565.531250;318739.968750
1;44;0.426820;320519.218750;323461.125000
1;45;1.446331;323894.562500;325790.718750
1;46;0.074239;327238.656250;331548.281250
1;47;3.054433;331629.750000;331779.781250
1;48;2.940257;334848.843750;337395.156250
1;49;0.318296;340349.437500;341792.968750
1;50;1.180071;342115.218750;343294.625000
1;51;1.102108;344474.906250;347893.218750
1;52;4.258430;349006.625000;349726.218750
