Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Delay 1) 	Residence time (Delay 1) 	Utilization (Delay 1)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
5.0	 Peticiones	 4.979932978227032	 1.0	 4.979932978227032	 4.979932978227032	 0.004029576675169013	 0.019986647272336563
18.0	 Peticiones	 17.926789431698246	 1.0	 17.926789431698246	 17.926789431698246	 0.004083863905507919	 0.07194803999638671
30.0	 Peticiones	 29.87641277472559	 1.0	 29.87641277472559	 29.87641277472559	 0.004136615269252167	 0.11990710045735635
43.0	 Peticiones	 42.82028936714753	 1.0	 42.82028936714753	 42.82028936714753	 0.004196857039232267	 0.17185653369681647
56.0	 Peticiones	 55.76241929180927	 1.0	 55.76241929180927	 55.76241929180927	 0.004260588245776334	 0.22379895679526113
68.0	 Peticiones	 67.70731602153882	 1.0	 67.70731602153882	 67.70731602153882	 0.004322782169774591	 0.2717390472915367
81.0	 Peticiones	 80.6456326601033	 1.0	 80.6456326601033	 80.6456326601033	 0.004394129331098033	 0.323666166006467
94.0	 Peticiones	 93.58169124280379	 1.0	 93.58169124280379	 93.58169124280379	 0.004469985011393991	 0.3755842221564447
107.0	 Peticiones	 106.51527161013236	 1.0	 106.51527161013236	 106.51527161013236	 0.004550787718420868	 0.42749233214515475
119.0	 Peticiones	 118.45154632515195	 1.0	 118.45154632515195	 118.45154632515195	 0.004630194301917688	 0.4753978187285789
132.0	 Peticiones	 131.37962985315622	 1.0	 131.37962985315622	 131.37962985315622	 0.0047219660120613755	 0.5272838674989617
145.0	 Peticiones	 144.3044037533807	 1.0	 144.3044037533807	 144.3044037533807	 0.0048203397022318906	 0.579156633286757
157.0	 Peticiones	 156.2317090155504	 1.0	 156.2317090155504	 156.2317090155504	 0.0049176379704913694	 0.6270261215362435
170.0	 Peticiones	 169.14903422762558	 1.0	 169.14903422762558	 169.14903422762558	 0.0050308639139453005	 0.6788689924834189
183.0	 Peticiones	 182.06180514623756	 1.0	 182.06180514623756	 182.06180514623756	 0.005153166821612427	 0.7306935850607003
195.0	 Peticiones	 193.9767554551779	 1.0	 193.9767554551779	 193.9767554551779	 0.0052750884631563065	 0.7785134874837628
208.0	 Peticiones	 206.879092803712	 1.0	 206.879092803712	 206.879092803712	 0.005418175326936156	 0.8302962055848515
221.0	 Peticiones	 219.7749296495592	 1.0	 219.7749296495592	 219.7749296495592	 0.005574204266129142	 0.8820528343279379
233.0	 Peticiones	 231.6722212016527	 1.0	 231.6722212016527	 231.6722212016527	 0.005731281857878063	 0.9298018644428974
246.0	 Peticiones	 244.55283370220045	 1.0	 244.55283370220045	 244.55283370220045	 0.005917601836345251	 0.9814973912352583
259.0	 Peticiones	 257.4237353787045	 1.0	 257.4237353787045	 257.4237353787045	 0.006123229542049158	 1.0331539442471016
272.0	 Peticiones	 270.28335621770805	 1.0	 270.28335621770805	 270.28335621770805	 0.006351274478437599	 1.0847652223283295
284.0	 Peticiones	 282.1421088991214	 1.0	 282.1421088991214	 282.1421088991214	 0.00658494794742919	 1.132359579113763
297.0	 Peticiones	 294.9742485216422	 1.0	 294.9742485216422	 294.9742485216422	 0.006867553654295301	 1.183860563063954
310.0	 Peticiones	 307.7881037984253	 1.0	 307.7881037984253	 307.7881037984253	 0.007186425252560536	 1.2352881639444406
322.0	 Peticiones	 319.59688733147766	 1.0	 319.59688733147766	 319.59688733147766	 0.007519199228088564	 1.2826819727009837
335.0	 Peticiones	 332.36437464238696	 1.0	 332.36437464238696	 332.36437464238696	 0.007929927389025732	 1.3339234786716176
348.0	 Peticiones	 345.0996487302784	 1.0	 345.0996487302784	 345.0996487302784	 0.008404387777248955	 1.3850356989011021
360.0	 Peticiones	 356.8199579305429	 1.0	 356.8199579305429	 356.8199579305429	 0.008912175450892727	 1.4320744214968844
373.0	 Peticiones	 369.46899816332916	 1.0	 369.46899816332916	 369.46899816332916	 0.009556963789178238	 1.4828405475816373
386.0	 Peticiones	 382.0545439089347	 1.0	 382.0545439089347	 382.0545439089347	 0.010326944552727917	 1.5333518425422432
398.0	 Peticiones	 393.5990939615578	 1.0	 393.5990939615578	 393.5990939615578	 0.011181189453835803	 1.5796851668717926
411.0	 Peticiones	 406.00163643106316	 1.0	 406.00163643106316	 406.00163643106316	 0.01231119069586687	 1.6294619897129767
424.0	 Peticiones	 418.25856424485363	 1.0	 418.25856424485363	 418.25856424485363	 0.013727001060964191	 1.6786543973071726
437.0	 Peticiones	 430.3137262939735	 1.0	 430.3137262939735	 430.3137262939735	 0.015538137171712492	 1.727037030716106
449.0	 Peticiones	 441.19026838721294	 1.0	 441.19026838721294	 441.19026838721294	 0.017701504707562606	 1.7706893471851708
462.0	 Peticiones	 452.5829688596109	 1.0	 452.5829688596109	 452.5829688596109	 0.020807303385979425	 1.81641323279101
475.0	 Peticiones	 463.3844057318897	 1.0	 463.3844057318897	 463.3844057318897	 0.025066864841435985	 1.859764119187378
487.0	 Peticiones	 472.58856843791466	 1.0	 472.58856843791466	 472.58856843791466	 0.030494668141721398	 1.8967044463457587
500.0	 Peticiones	 481.3666115488583	 1.0	 481.3666115488583	 481.3666115488583	 0.03870934959777618	 1.9319345693548153
