Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
5.0	 Peticiones	 2.4636206902913838	 2.0	 4.9272413805827675	 4.9272413805827675	 2.409454417917868E-5	 5.935699873946642E-5	 32.02835010779025	 0.024141381984974876	 0.058772022447795114	 29.564729417498867	 0.005367730309040731	 0.013085970099502764
15.0	 Peticiones	 7.387507729451451	 2.0	 14.775015458902901	 14.775015458902901	 2.4097403304507595E-5	 1.7799017872876556E-4	 96.04144214054833	 0.024917573383981637	 0.1762360463279062	 88.65393441109688	 0.00551305756449156	 0.039240093102974105
25.0	 Peticiones	 12.306251943343586	 2.0	 24.612503886687172	 24.612503886687172	 2.4100260171853753E-5	 2.964994505717543E-4	 159.9876747704472	 0.02579735553833378	 0.29357738320377064	 147.6814228271036	 0.005666288406375998	 0.06536689905315542
35.0	 Peticiones	 17.218861603631506	 2.0	 34.43772320726301	 34.43772320726301	 2.410311421704885E-5	 4.148609201609353E-4	 223.8541550133958	 0.026802547932739437	 0.4107723744495813	 206.63529340976427	 0.0058280508538013295	 0.09146112020432326
45.0	 Peticiones	 22.12406170830928	 2.0	 44.24812341661856	 44.24812341661856	 2.4105964715905793E-5	 5.330438683629788E-4	 287.62430718028946	 0.02796142668765677	 0.5277906036758312	 265.5002454719802	 0.005999031000288688	 0.11751598415105331
56.0	 Peticiones	 27.509218062187426	 2.0	 55.01843612437485	 55.01843612437485	 2.4109095031468452E-5	 6.627905944595065E-4	 357.6341401740206	 0.029458513777805513	 0.6562586472193278	 330.1249221118332	 0.006198648525216716	 0.1461202231500617
66.0	 Peticiones	 32.392759758869474	 2.0	 64.78551951773895	 64.78551951773895	 2.4111934628373535E-5	 7.804517179743457E-4	 421.1227217741472	 0.031076743823593482	 0.7727601944555601	 388.7299620152777	 0.006391487941468856	 0.1720600445171642
76.0	 Peticiones	 37.26161055832754	 2.0	 74.52322111665508	 74.52322111665508	 2.4114766561403658E-5	 8.977588878260087E-4	 484.42031407078986	 0.033012553818267905	 0.8889112763198994	 447.1587035124623	 0.006596048874692141	 0.19792183250738954
86.0	 Peticiones	 42.11139150045776	 2.0	 84.22278300091553	 84.22278300091553	 2.4117588365186466E-5	 0.001014606599977129	 547.469988305448	 0.03536540927443638	 1.0046074285404973	 505.3585968049903	 0.00681323433223407	 0.2236823274764216
96.0	 Peticiones	 46.935802107087916	 2.0	 93.87160421417583	 93.87160421417583	 2.4120396502758916E-5	 0.001130843054486912	 610.1898349855032	 0.03827888973108646	 1.1196983471983986	 563.2540328784154	 0.007043946572289141	 0.24930806328667704
106.0	 Peticiones	 51.72549311631288	 2.0	 103.45098623262577	 103.45098623262577	 2.4123185742490842E-5	 0.0012462429958485727	 672.4583088443782	 0.04196650713282205	 1.233960996729434	 620.7328157280654	 0.007289011378468712	 0.274749379630372
116.0	 Peticiones	 56.46611080901561	 2.0	 112.93222161803122	 112.93222161803122	 2.4125948080566786E-5	 0.0013604605941659367	 734.0888040693187	 0.046756395435650466	 1.3470529554672	 677.6226932603031	 0.00754902846511351	 0.2999300341135686
