Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
5.0	 Peticiones	 5.0	 1.0	 5.0	 5.0	 0.0	 0.0	 5.0	 0.0	 0.0	 5.0	 0.0	 0.0
10.0	 Peticiones	 10.0	 1.0	 10.0	 10.0	 0.0	 0.0	 10.0	 0.0	 0.0	 10.0	 0.0	 0.0
15.0	 Peticiones	 15.0	 1.0	 15.0	 15.0	 0.0	 0.0	 15.0	 0.0	 0.0	 15.0	 0.0	 0.0
20.0	 Peticiones	 20.0	 1.0	 20.0	 20.0	 0.0	 0.0	 20.0	 0.0	 0.0	 20.0	 0.0	 0.0
25.0	 Peticiones	 25.0	 1.0	 25.0	 25.0	 0.0	 0.0	 25.0	 0.0	 0.0	 25.0	 0.0	 0.0
30.0	 Peticiones	 30.0	 1.0	 30.0	 30.0	 0.0	 0.0	 30.0	 0.0	 0.0	 30.0	 0.0	 0.0
35.0	 Peticiones	 35.0	 1.0	 35.0	 35.0	 0.0	 0.0	 35.0	 0.0	 0.0	 35.0	 0.0	 0.0
40.0	 Peticiones	 40.0	 1.0	 40.0	 40.0	 0.0	 0.0	 40.0	 0.0	 0.0	 40.0	 0.0	 0.0
45.0	 Peticiones	 45.0	 1.0	 45.0	 45.0	 0.0	 0.0	 45.0	 0.0	 0.0	 45.0	 0.0	 0.0
50.0	 Peticiones	 50.0	 1.0	 50.0	 50.0	 0.0	 0.0	 50.0	 0.0	 0.0	 50.0	 0.0	 0.0
55.0	 Peticiones	 55.0	 1.0	 55.0	 55.0	 0.0	 0.0	 55.0	 0.0	 0.0	 55.0	 0.0	 0.0
60.0	 Peticiones	 60.0	 1.0	 60.0	 60.0	 0.0	 0.0	 60.0	 0.0	 0.0	 60.0	 0.0	 0.0
65.0	 Peticiones	 65.0	 1.0	 65.0	 65.0	 0.0	 0.0	 65.0	 0.0	 0.0	 65.0	 0.0	 0.0
70.0	 Peticiones	 70.0	 1.0	 70.0	 70.0	 0.0	 0.0	 70.0	 0.0	 0.0	 70.0	 0.0	 0.0
75.0	 Peticiones	 75.0	 1.0	 75.0	 75.0	 0.0	 0.0	 75.0	 0.0	 0.0	 75.0	 0.0	 0.0
80.0	 Peticiones	 80.0	 1.0	 80.0	 80.0	 0.0	 0.0	 80.0	 0.0	 0.0	 80.0	 0.0	 0.0
85.0	 Peticiones	 85.0	 1.0	 85.0	 85.0	 0.0	 0.0	 85.0	 0.0	 0.0	 85.0	 0.0	 0.0
90.0	 Peticiones	 90.0	 1.0	 90.0	 90.0	 0.0	 0.0	 90.0	 0.0	 0.0	 90.0	 0.0	 0.0
95.0	 Peticiones	 95.0	 1.0	 95.0	 95.0	 0.0	 0.0	 95.0	 0.0	 0.0	 95.0	 0.0	 0.0
100.0	 Peticiones	 100.0	 1.0	 100.0	 100.0	 0.0	 0.0	 100.0	 0.0	 0.0	 100.0	 0.0	 0.0
105.0	 Peticiones	 105.0	 1.0	 105.0	 105.0	 0.0	 0.0	 105.0	 0.0	 0.0	 105.0	 0.0	 0.0
