Bloque	 Disponibilidad	 
RAID 1	 0.9999999993688362	 
ControladoresCabina	 0.9999797472456253	 
Controladores	 0.9999797472456253	 
PSCabina	 0.9999238153283558	 
AlimentacionCabina	 0.9999999941958958	 
Cabina	 0.9999797408104877	 
Ethernet1	 0.9999636376859024	 
SO1	 0.999184339314845	 
DiskC1	 0.9999897436949364	 
PlacaBaseC1	 0.9999721262125097	 
CPU1	 0.9999923810104304	 
ProcesadoresC1	 0.9999847620789099	 
PS1	 0.9999238153283558	 
AlimentacionC1	 0.9999999941958958	 
Computador 1	 0.9990946784629213	 
Computadores	 0.9990946784629213	 
SAI	 0.9999593925119791	 
Red Electrica	 0.994475138121547	 
Alimentacion	 0.9999997756492375	 
Bloque 1	 0.9990742134713777	 
