Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
5.0	 Peticiones	 5.167813440700023	 0.9	 4.651032096630021	 5.167813440700023	 0.06752718676367479	 0.34828211507642926
10.0	 Peticiones	 10.333759353011867	 0.9	 9.30038341771068	 10.333759353011867	 0.0677020393440273	 0.6964383690426494
15.0	 Peticiones	 15.497665446635517	 0.9	 13.947898901971966	 15.497665446635517	 0.0678877151949645	 1.044457150482965
20.0	 Peticiones	 20.659337878139894	 0.9	 18.593404090325905	 20.659337878139894	 0.06808523670850293	 1.3923253954195554
25.0	 Peticiones	 25.81855782507076	 0.9	 23.23670204256368	 25.81855782507076	 0.06829575723722617	 1.7400283564262482
30.0	 Peticiones	 30.97507739630691	 0.9	 27.877569656676222	 30.97507739630691	 0.0685205824078694	 2.0875493270090906
35.0	 Peticiones	 36.12861472642902	 0.9	 32.51575325378612	 36.12861472642902	 0.06876119566235649	 2.4348693109938706
40.0	 Peticiones	 41.27884806143544	 0.9	 37.1509632552919	 41.27884806143544	 0.06901928901862456	 2.781966623935994
45.0	 Peticiones	 46.42540859049706	 0.9	 41.782867731447354	 46.42540859049706	 0.06929680031316252	 3.1288164100203084
50.0	 Peticiones	 51.567871709457265	 0.9	 46.41108453851154	 51.567871709457265	 0.06959595854002011	 3.4753900532691993
55.0	 Peticiones	 56.70574631078009	 0.9	 51.03517167970208	 56.70574631078009	 0.06991933936586203	 3.821654455744182
60.0	 Peticiones	 61.83846157378727	 0.9	 55.65461541640855	 61.83846157378727	 0.07026993351712722	 4.167571147280761
65.0	 Peticiones	 66.96535056739745	 0.9	 60.26881551065771	 66.96535056739745	 0.07065123155863391	 4.513095180403509
70.0	 Peticiones	 72.08562975992665	 0.9	 64.87706678393398	 72.08562975992665	 0.07106732969008386	 4.858173749399671
75.0	 Peticiones	 77.19837323535404	 0.9	 69.47853591181864	 77.19837323535404	 0.07152306268615435	 5.202744452637724
80.0	 Peticiones	 82.30248001243952	 0.9	 74.07223201119557	 82.30248001243952	 0.07202417215020106	 5.546733090056196
85.0	 Peticiones	 87.39663230909449	 0.9	 78.65696907818504	 87.39663230909449	 0.07257752105803864	 5.8900508504125195
90.0	 Peticiones	 92.47924182813128	 0.9	 83.23131764531816	 92.47924182813128	 0.07319136944549298	 6.232590691238883
95.0	 Peticiones	 97.54838007469299	 0.9	 87.79354206722368	 97.54838007469299	 0.07387573148071046	 6.574222642621436
100.0	 Peticiones	 102.60168722659532	 0.9	 92.34151850393579	 102.60168722659532	 0.0746428416830076	 6.914787665564096
105.0	 Peticiones	 107.63625199275597	 0.9	 96.87262679348038	 107.63625199275597	 0.07550776858215585	 7.25408955510951
110.0	 Peticiones	 112.64845197231796	 0.9	 101.38360677508616	 112.64845197231796	 0.07648922887134936	 7.5918841814247
115.0	 Peticiones	 117.63373994923606	 0.9	 105.87036595431246	 117.63373994923606	 0.07761067572643165	 7.927865087235212
120.0	 Peticiones	 122.58635592803158	 0.9	 110.32772033522842	 122.58635592803158	 0.07890176350824894	 8.261644080623674
125.0	 Peticiones	 127.49893711432529	 0.9	 114.74904340289277	 127.49893711432529	 0.08040032983110643	 8.592724949869465
130.0	 Peticiones	 132.36198820170463	 0.9	 119.12578938153418	 132.36198820170463	 0.08215508671488655	 8.920467763705984
135.0	 Peticiones	 137.16316262064376	 0.9	 123.44684635857939	 137.16316262064376	 0.08422927425035773	 9.244040431463212
140.0	 Peticiones	 141.8862940227184	 0.9	 127.69766462044656	 141.8862940227184	 0.08670559382982854	 9.562353430447098
145.0	 Peticiones	 146.51011277227735	 0.9	 131.85910149504963	 146.51011277227735	 0.08969277448701063	 9.87397330455933
150.0	 Peticiones	 151.00660064339976	 0.9	 135.9059405790598	 151.00660064339976	 0.09333406196079566	 10.177011779949396
155.0	 Peticiones	 155.33901272730387	 0.9	 139.80511145457348	 155.33901272730387	 0.09781759442556137	 10.468992452487065
160.0	 Peticiones	 159.45979331441967	 0.9	 143.5138139829777	 159.45979331441967	 0.10338772974899797	 10.74671032971217
165.0	 Peticiones	 163.3090300393841	 0.9	 146.9781270354457	 163.3090300393841	 0.11035441800253222	 11.006127648735763
170.0	 Peticiones	 166.81481305872342	 0.9	 150.1333317528511	 166.81481305872342	 0.11909414927171555	 11.242398082834315
175.0	 Peticiones	 169.89778190757158	 0.9	 152.90800371681442	 169.89778190757158	 0.13003110479219873	 11.450173174507542
180.0	 Peticiones	 172.48254312474526	 0.9	 155.23428881227073	 172.48254312474526	 0.14358387080261129	 11.624371820417412
185.0	 Peticiones	 174.51688454616504	 0.9	 157.06519609154856	 174.51688454616504	 0.16006934790920957	 11.761475208759483
190.0	 Peticiones	 175.99418059713904	 0.9	 158.39476253742512	 175.99418059713904	 0.17958115066839106	 11.861036812352818
195.0	 Peticiones	 176.96705308065364	 0.9	 159.27034777258828	 176.96705308065364	 0.201900023792156	 11.92660305040421
200.0	 Peticiones	 177.53950995168987	 0.9	 159.78555895652087	 177.53950995168987	 0.22650981212250632	 11.965183485267495
205.0	 Peticiones	 177.83735363334833	 0.9	 160.0536182700135	 177.83735363334833	 0.2527387009067486	 11.985256506207683
210.0	 Peticiones	 177.97364515883294	 0.9	 160.17628064294965	 177.97364515883294	 0.27994998536207466	 11.994441803105001
215.0	 Peticiones	 178.0284441498199	 0.9	 160.2255997348379	 178.0284441498199	 0.307672184221678	 11.998134952771489
220.0	 Peticiones	 178.04784188133297	 0.9	 160.2430576931997	 178.04784188133297	 0.3356229520974913	 11.999442252858184
225.0	 Peticiones	 178.0539074846663	 0.9	 160.24851673619966	 178.0539074846663	 0.36366224239912626	 11.999851041058918
230.0	 Peticiones	 178.0555893464694	 0.9	 160.25003041182245	 178.0555893464694	 0.39173142412538686	 11.999964389265614
235.0	 Peticiones	 178.05600440143962	 0.9	 160.25040396129566	 178.05600440143962	 0.4198094655105042	 11.99999236168075
240.0	 Peticiones	 178.05609587710399	 0.9	 160.2504862893936	 178.05609587710399	 0.4478898254943782	 11.999998526635856
245.0	 Peticiones	 178.05611393831134	 0.9	 160.2505025444802	 178.05611393831134	 0.47597072395324647	 11.999999743861588
250.0	 Peticiones	 178.05611714215365	 0.9	 160.2505054279383	 178.05611714215365	 0.5040517338722426	 11.999999959782885
255.0	 Peticiones	 178.05611765409927	 0.9	 160.25050588868933	 178.05611765409927	 0.5321327644320302	 11.999999994285194
260.0	 Peticiones	 178.0561177279694	 0.9	 160.25050595517246	 178.0561177279694	 0.560213798422938	 11.999999999263633
265.0	 Peticiones	 178.05611773761657	 0.9	 160.25050596385492	 178.05611773761657	 0.5882948329273576	 11.9999999999138
270.0	 Peticiones	 178.05611773875933	 0.9	 160.2505059648834	 178.05611773875933	 0.6163758675011605	 11.999999999990816
275.0	 Peticiones	 178.0561177388824	 0.9	 160.25050596499415	 178.0561177388824	 0.6444569020834481	 11.999999999999108
280.0	 Peticiones	 178.05611773889444	 0.9	 160.250505965005	 178.05611773889444	 0.6725379366666772	 11.999999999999922
285.0	 Peticiones	 178.0561177388955	 0.9	 160.25050596500594	 178.0561177388955	 0.7006189712500009	 11.999999999999993
290.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.7287000058333334	 12.0
295.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.7567810404166667	 12.0
300.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.7848620750000003	 12.0
305.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.8129431095833335	 12.0
310.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.8410241441666668	 12.0
315.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.8691051787500002	 12.0
320.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.8971862133333335	 12.0
325.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.9252672479166668	 12.0
330.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.9533482825000001	 12.0
335.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 0.9814293170833335	 12.0
340.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.0095103516666668	 12.0
345.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.0375913862500001	 12.0
350.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.0656724208333335	 12.0
355.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.093753455416667	 12.0
360.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.1218344900000004	 12.0
365.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.1499155245833337	 12.0
370.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.177996559166667	 12.0
375.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.2060775937500003	 12.0
380.0	 Peticiones	 178.05611773889564	 0.9	 160.25050596500608	 178.05611773889564	 1.2341586283333332	 12.000000000000004
385.0	 Peticiones	 178.05611773889564	 0.9	 160.25050596500608	 178.05611773889564	 1.2622396629166666	 12.000000000000004
390.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.2903206975000003	 12.0
395.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.3184017320833337	 12.0
400.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.346482766666667	 12.0
405.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.3745638012500003	 12.0
410.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.4026448358333337	 12.0
415.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.4307258704166668	 12.0
420.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.458806905	 12.0
425.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.4868879395833334	 12.0
430.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.5149689741666668	 12.0
435.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.54305000875	 12.0
440.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.5711310433333334	 12.0
445.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.5992120779166668	 12.0
450.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.6272931125	 12.0
455.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.6553741470833334	 12.0
460.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.683455181666667	 12.0
465.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.7115362162500003	 12.0
470.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.7396172508333336	 12.0
475.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.767698285416667	 12.0
480.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 1.7957793200000003	 12.0
485.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 1.8238603545833338	 11.999999999999998
490.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 1.8519413891666672	 11.999999999999998
495.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 1.8800224237500005	 11.999999999999998
500.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 1.9081034583333338	 11.999999999999998
505.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 1.9361844929166672	 11.999999999999998
510.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 1.9642655275000005	 11.999999999999998
515.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 1.9923465620833338	 11.999999999999998
520.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 2.020427596666667	 11.999999999999998
525.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 2.0485086312500003	 11.999999999999998
