Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
5.0	 Peticiones	 5.224803521702917	 0.9	 4.702323169532625	 5.224803521702917	 1.0660475016039566E-5	 5.569640554135309E-5	 5.224803521702917	 0.05230986212897347	 0.2728893217852795	 5.224803521702917	 0.004653262004537331	 0.023850698941264705
10.0	 Peticiones	 10.447206894128966	 0.9	 9.40248620471607	 10.447206894128966	 1.0661068602391837E-5	 1.1136722549141477E-4	 10.447206894128966	 0.05241440645341014	 0.545653284768907	 10.447206894128966	 0.004768572973392626	 0.04769044144415256
15.0	 Peticiones	 15.667036024460042	 0.9	 14.100332422014038	 15.667036024460042	 1.0661661966348519E-5	 1.6701060402074405E-4	 15.667036024460042	 0.05252392154394432	 0.8182827961551701	 15.667036024460042	 0.004889653042819673	 0.07151843279257995
20.0	 Peticiones	 20.884099842711223	 0.9	 18.795689858440102	 20.884099842711223	 1.0662255086507681E-5	 2.2262450432330161E-4	 20.884099842711223	 0.052638764435843255	 1.090767876437972	 20.884099842711223	 0.005016939139064019	 0.09533380077141608
25.0	 Peticiones	 26.09818821703382	 0.9	 23.488369395330437	 26.09818821703382	 1.0662847939340845E-5	 2.782066863935805E-4	 26.09818821703382	 0.05275932655741653	 1.3630975505179743	 26.09818821703382	 0.005150912693240672	 0.1191355861500525
30.0	 Peticiones	 31.309069559982277	 0.9	 28.17816260398405	 31.309069559982277	 1.0663440498927097E-5	 3.3375468150941104E-4	 31.309069559982277	 0.05288603788843713	 1.6352597226789096	 31.309069559982277	 0.0052921053529632915	 0.14292273175525397
35.0	 Peticiones	 36.51648807207412	 0.9	 32.86483926486671	 36.51648807207412	 1.0664032736647137E-5	 3.892657628483101E-4	 36.51648807207412	 0.05301937172295914	 1.9072410326198606	 36.51648807207412	 0.005441105579665918	 0.1666940698882888
40.0	 Peticiones	 41.720160558301956	 0.9	 37.548144502471764	 41.720160558301956	 1.0664624620830119E-5	 4.447369115514988E-4	 41.720160558301956	 0.0531598501388505	 2.1790266891830004	 41.720160558301956	 0.005598566292721687	 0.19044830779262842
45.0	 Peticiones	 46.919772740204664	 0.9	 42.2277954661842	 46.919772740204664	 1.0665216116344786E-5	 5.001647774105816E-4	 46.919772740204664	 0.0533080502960259	 2.450600277734602	 46.919772740204664	 0.005765213755067381	 0.21418401081892596
50.0	 Peticiones	 52.11497497008407	 0.9	 46.90347747307566	 52.11497497008407	 1.0665807184124617E-5	 5.555456331810962E-4	 52.11497497008407	 0.053464611709224494	 2.7219435363203504	 52.11497497008407	 0.005941857936536689	 0.2378995828608494
55.0	 Peticiones	 57.3053772342224	 0.9	 51.57483951080016	 57.3053772342224	 1.0666397780614567E-5	 6.108753213168107E-4	 57.3053772342224	 0.05363024467019815	 2.993036094685462	 57.3053772342224	 0.0061294046425398345	 0.2615932435452752
60.0	 Peticiones	 62.490543307568736	 0.9	 56.241488976811866	 62.490543307568736	 1.0666987857124277E-5	 6.661491916586827E-4	 62.490543307568736	 0.05380574002955797	 3.263855168976382	 62.490543307568736	 0.006328869759733934	 0.2852630015490241
65.0	 Peticiones	 67.6699838921202	 0.9	 60.90298550290818	 67.6699838921202	 1.066757735906938E-5	 7.213620282900013E-4	 67.6699838921202	 0.05399198059176319	 3.534375203361278	 67.6699838921202	 0.006541396050295624	 0.308906623276266
70.0	 Peticiones	 72.84314853359237	 0.9	 65.55883368023314	 72.84314853359237	 1.0668166225078312E-5	 7.765079633680947E-4	 72.84314853359237	 0.054189954429673656	 3.804567447841089	 72.84314853359237	 0.006768273026711272	 0.33252159595893904
75.0	 Peticiones	 78.0094160639949	 0.9	 70.20847445759541	 78.0094160639949	 1.0668754385937063E-5	 8.315803752421857E-4	 78.0094160639949	 0.05440077049001212	 4.074399459069208	 78.0094160639949	 0.007010960565310394	 0.35610508402807534
80.0	 Peticiones	 83.16808325889981	 0.9	 74.85127493300983	 83.16808325889981	 1.0669341763337698E-5	 8.86571767539872E-4	 83.16808325889981	 0.05462567694080634	 4.343834507925313	 83.16808325889981	 0.007271117076449217	 0.37965387733537925
85.0	 Peticiones	 88.31835132430771	 0.9	 79.48651619187694	 88.31835132430771	 1.0669928268388568E-5	 9.414736251171201E-4	 88.31835132430771	 0.05486608280984241	 4.612830873729986	 88.31835132430771	 0.007550633251890028	 0.4031643294671404
90.0	 Peticiones	 93.45930973499283	 0.9	 84.11337876149355	 93.45930973499283	 1.067051379983391E-5	 9.962762417750235E-4	 93.45930973499283	 0.05512358358351386	 4.881341000128182	 93.45930973499283	 0.007851672668015128	 0.42663228396791547
95.0	 Peticiones	 98.58991682882964	 0.9	 88.73092514594669	 98.58991682882964	 1.067109824191772E-5	 0.0010509685133953239	 98.58991682882964	 0.05539999158313891	 5.149310481538948	 98.58991682882964	 0.008176720853363342	 0.45005298575559444
100.0	 Peticiones	 103.70897641327161	 0.9	 93.33807877194445	 103.70897641327161	 1.06716814618107E-5	 0.0011055376885654754	 103.70897641327161	 0.055697372116570915	 5.4166768413215065	 103.70897641327161	 0.00852864485183244	 0.47342097433234526
105.0	 Peticiones	 108.81510945256954	 0.9	 97.9335985073126	 108.81510945256954	 1.0672263306498518E-5	 0.0011599690667643914	 108.81510945256954	 0.056018086623118364	 5.683368053010414	 108.81510945256954	 0.00891076585639148	 0.49672995453963287
110.0	 Peticiones	 113.90671966719482	 0.9	 102.51604770047534	 113.90671966719482	 1.067284359900387E-5	 0.0012142456316522967	 113.90671966719482	 0.056364844296017014	 5.949300743587692	 113.90671966719482	 0.009326948188072948	 0.5199726395230704
115.0	 Peticiones	 118.98195157778395	 0.9	 107.08375642000556	 118.98195157778395	 1.0673422133782142E-5	 0.001268347603819177	 118.98195157778395	 0.056740763984826484	 6.214378002135449	 118.98195157778395	 0.009781708797312846	 0.5431405592072747
120.0	 Peticiones	 124.03863915008361	 0.9	 111.63477523507525	 124.03863915008361	 1.0673998671089423E-5	 0.0013222518933398912	 124.03863915008361	 0.057149448553418206	 6.478486697582651	 124.03863915008361	 0.010280352627608883	 0.5662238258652417
