Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
5.0	 Peticiones	 5.23468308230657	 0.9	 4.711214774075913	 10.46936616461314	 1.0660475922666575E-5	 5.580172165738803E-5	 89.49616576292934	 0.048795728820074935	 0.2550640724243486	 84.26148268062276	 0.006361272505763023	 0.03244067083203977
10.0	 Peticiones	 10.465988629058534	 0.9	 9.419389766152682	 20.93197725811707	 1.0661070544287361E-5	 1.1156743878576397E-4	 178.93458658177852	 0.048886545525735556	 0.5099635717580687	 168.46859795271996	 0.006578702505634432	 0.06486041021179718
15.0	 Peticiones	 15.693606193156029	 0.9	 14.124245573840426	 31.387212386312058	 1.0661664820441124E-5	 1.6729384201904327E-4	 268.30995481429426	 0.04898135988354748	 0.7646833712207386	 252.61634862113823	 0.006811240963819252	 0.09725729421913822
20.0	 Peticiones	 20.917185412066306	 0.9	 18.825466870859675	 41.83437082413261	 1.06622587121364E-5	 2.2297719649262682E-4	 357.6162803933006	 0.0490804338737241	 1.0192063991209068	 336.69909498123434	 0.007060489561439384	 0.1296291515677752
25.0	 Peticiones	 26.136329322021776	 0.9	 23.5226963898196	 52.27265864404355	 1.066285217522998E-5	 2.786132705727521E-4	 446.8467765210894	 0.04918405182569141	 1.2735133130851048	 420.71044719906763	 0.007328280268316147	 0.16197352217164104
30.0	 Peticiones	 31.350586281256312	 0.9	 28.215527653130682	 62.701172562512625	 1.0663445159540199E-5	 3.3419724975819226E-4	 535.9937215828596	 0.04929252266330819	 1.52758210651115	 504.64313530160337	 0.007616717425719228	 0.19428760709111728
35.0	 Peticiones	 36.55944015510945	 0.9	 32.9034961395985	 73.1188803102189	 1.0664037607770749E-5	 3.897236320534667E-4	 625.0482913437145	 0.04940618238130699	 1.7813876303295864	 588.488851188605	 0.007928229203325	 0.22656820770761293
40.0	 Peticiones	 41.76229831462802	 0.9	 37.58606848316522	 83.52459662925604	 1.0664629454196399E-5	 4.4518610003393467E-4	 714.0003537635295	 0.04952539676721621	 2.034901008226059	 672.2380554489014	 0.008265630901218646	 0.258811651347827
45.0	 Peticiones	 46.95847686539275	 0.9	 42.26262917885347	 93.9169537307855	 1.0665220623047558E-5	 5.005773633850867E-4	 802.8382164576177	 0.0496505643778949	 2.2880889169042105	 755.879739592225	 0.008632203320808765	 0.2910136997430066
50.0	 Peticiones	 52.14718234211596	 0.9	 46.932464107904366	 104.29436468423192	 1.0665811026511142E-5	 5.558889637669561E-4	 891.5483137335017	 0.049782119770672074	 2.54091269414048	 839.4011313913858	 0.009031790441811387	 0.3231694355856835
55.0	 Peticiones	 57.32748885936804	 0.9	 51.59473997343124	 114.65497771873608	 1.066640056223886E-5	 6.111110312408633E-4	 980.1148159421684	 0.0499205369737664	 2.79332722543518	 922.7873270828004	 0.009468922016168078	 0.3552731209268782
60.0	 Peticiones	 62.49830937443274	 0.9	 56.24847843698947	 124.99661874886549	 1.0666989110218254E-5	 6.66231977931453E-4	 1068.5191381657548	 0.05006633315588666	 3.045279543772401	 1006.0208287913221	 0.009948968566170148	 0.387318019084659
65.0	 Peticiones	 67.65835925886914	 0.9	 60.89252333298223	 135.31671851773828	 1.0667576528812663E-5	 7.21238109699545E-4	 1156.7393174089686	 0.05022007241568558	 3.2967070546155606	 1089.0809581500994	 0.010478338856447524	 0.41929616888778826
70.0	 Peticiones	 72.80610973940988	 0.9	 65.5254987654689	 145.61221947881975	 1.0668162649708338E-5	 7.761131298221093E-4	 1244.749216588896	 0.05038236955044785	 3.547535267278353	 1171.9431068494862	 0.01106473348970923	 0.45119809613705214
